"","bpns-W1","bpns-NIEUWPOORTKUST8","bpns-D1","bpns-OOSTDYCK","bpns-KB2","bpns-VG2","bpns-C05BELWIND","bpns-WK14","bpns-WZ","bpns-S7","bpns-WK12","bpns-S4","bpns-A1BIS","bpns-WENDUINEBANKW","bpns-OH6","bpns-GARDENCITY","bpns-NHSE","s-8","s-4","s-1","s-9","s-5","s-6","s-7","s-3","s-2","s-2a","s-4a","s-4b","s-4c","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-6","ws-4","ws-A1","ws-A3","ws-A5","ws-DL12","ws-DL7","ws-DL9","ws-GVWSP","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PVTSS","ws-SP3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2","bpns-BIRKENFELS","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","s-10","s-9a","ws-FZ2","ws-HW6","ws-55","ws-53A","ws-53","s-12","ws-42A","s-11","bpns-B05BELWIND","bpns-C05AR1Belwind","bpns-C05AR2Belwind","bpns-C05AR3Belwind","bpns-WKS","s-8a","bpns-BelwindReefballs","bpns-Kilmore","s-10a","s-Wetteren","s-Wichelen","gn-Lier","kn-Lier","bn-Lier","bn-Walem","du-Hamveer","s-Dendermonde","s-Vlassenbroek","ws-F42"
"s-4a",124593.268896593,177815.956916312,177861.409873116,180798.656690745,168200.585068497,159742.402286342,170473.958530445,128537.132465978,133977.739887213,133262.457472854,139834.293737104,141984.333574316,149422.152413479,158883.590356497,158109.683104033,197178.656329274,183909.412859625,22612.7478593114,10287.0474386263,41961.0397107222,27837.9896751911,8173.88239339858,13046.2105113614,14868.5062648651,14270.9966884297,40815.2444049558,24151.6124128713,0,3348.72382179402,5626.62296666897,95908.8520019209,91616.646129155,95652.8407142923,90812.7778298918,94698.4640244541,94304.9883808974,90033.3807278049,88941.4757587124,92358.3362294409,91601.5377591039,91119.6040772963,89978.7567138531,95370.4217407378,94316.2876967721,94645.712575927,94250.3643669463,93785.3476972889,93320.3310276308,112633.257043004,114805.703741987,113572.653209443,114005.708420226,112587.882666578,111812.471731591,94082.7471942426,93058.6381204016,95347.887032313,114423.591337632,112740.760352133,113565.22687107,113804.385069874,113377.075402018,113666.920713946,188171.913378899,35640.2209630084,36114.0943465977,42789.0296037022,43638.7531670008,51908.4706707456,52622.044160446,54192.7868312516,35044.6361219125,28014.0706382321,71853.6839675235,72847.6402245882,71113.9303559884,71590.1824181948,72015.6195206267,47408.5467539483,71863.1107179736,47150.6629008951,170957.764777679,170632.085029375,170208.520492368,170521.028359373,187025.64008916,22367.8587746344,171305.915311083,180518.302052594,35198.1571509502,34256.5160986796,28787.7562727451,47405.8344526783,48814.0058917903,43066.5839765667,34125.632399145,12506.3393060922,7911.63120306377,1437.56363428086,72168.0643999535
"s-4b",121535.820762286,174758.508782005,174803.961738809,177741.208556438,165143.13693419,156684.954152035,167416.510396138,125479.684331671,130920.291752906,130205.009338547,136776.845602797,138926.885440009,146364.704279172,155826.14222219,155052.234969727,194121.208194967,180851.964725318,19555.2997250045,13635.7712604203,45309.7635325162,24780.5415408842,5116.43425909168,9988.7623770545,11811.0581305582,17619.7205102237,44163.9682267498,27500.3362346654,3348.72382179402,0,2569.17483236207,92851.4038676141,88559.1979948482,92595.3925799854,87755.329695585,91641.0158901473,91247.5402465906,86975.9325934981,85884.0276244056,89300.8880951341,88544.089624797,88062.1559429895,86921.3085795463,92312.9736064309,91258.8395624652,91588.2644416202,91192.9162326395,90727.8995629821,90262.8828933239,109575.808908697,111748.25560768,110515.205075136,110948.260285919,109530.434532271,108755.023597284,91025.2990599358,90001.1899860948,92290.4388980061,111366.143203325,109683.312217826,110507.778736763,110746.936935568,110319.627267712,110609.472579639,185114.465244592,32582.7728287015,33056.6462122908,39731.5814693953,40581.3050326939,48851.0225364387,49564.5960261391,51135.3386969447,31987.1879876056,24956.6225039252,68796.2358332166,69790.1920902814,68056.4822216816,68532.734283888,68958.1713863198,44351.0986196414,68805.6625836667,44093.2147665882,167900.316643372,167574.636895068,167151.072358061,167463.580225066,183968.191954853,19310.4106403275,168248.467176776,177460.853918287,32140.7090166433,37605.2399204735,32136.4800945391,44348.3863183714,45756.5577574834,40009.1358422598,31068.184264838,9448.89117178534,11260.3550248578,4786.28745607485,69110.6162656467
"s-4c",119117.572469673,172340.260489392,172385.713446196,175322.960263825,162724.888641577,154266.705859423,164998.262103525,123061.436039059,128502.043460294,127786.761045934,134358.597310184,136508.637147396,143946.455986559,153407.893929578,152633.986677114,191702.959902354,178433.716432705,17137.0514323917,15913.6704052952,47587.6626773912,22362.2932482714,2698.18596647894,7570.51408444175,9392.80983794545,19897.6196550987,46441.8673716248,29778.2353795403,5626.62296666897,2569.17483236207,0,90433.1555750013,86140.9497022354,90177.1442873727,85337.0814029722,89222.7675975346,88829.2919539779,84557.6843008853,83465.7793317929,86882.6398025213,86125.8413321843,85643.9076503767,84503.0602869336,89894.7253138182,88840.5912698525,89170.0161490075,88774.6679400267,88309.6512703693,87844.6346007112,107157.560616084,109330.007315068,108096.956782524,108530.011993306,107112.186239659,106336.775304671,88607.0507673231,87582.941693482,89872.1906053934,108947.894910712,107265.063925213,108089.53044415,108328.688642955,107901.378975099,108191.224287027,182696.216951979,30164.5245360887,30638.3979196781,37313.3331767825,38163.0567400811,46432.7742438259,47146.3477335264,48717.090404332,29568.9396949929,22538.3742113124,66377.9875406039,67371.9437976687,65638.2339290689,66114.4859912752,66539.9230937071,41932.8503270286,66387.414291054,41674.9664739754,165482.06835076,165156.388602455,164732.824065448,165045.331932453,181549.94366224,16892.1623477148,165830.218884164,175042.605625674,29722.4607240305,39883.1390653485,34414.379239414,41930.1380257586,43338.3094648706,37590.8875496471,28649.9359722253,7030.64287917259,13538.2541697327,7064.18660094979,66692.367973034
"ws-11",29075.9560494774,82298.6440691959,82344.097026,85281.3438436289,72683.2722213811,63833.5502844216,74565.1065285257,33019.8196188632,38460.427040098,37745.1446257385,43925.4417351831,46075.4815723957,53904.8395663635,63366.2775093826,62592.3702569186,101269.804327352,88000.5608577051,73396.7218357763,106195.899440547,137869.891712642,68281.3860483371,87885.8961482721,83058.4110679625,81187.1729201088,110179.84869035,136724.096406875,120060.464414791,95908.8520019209,92851.4038676141,90433.1555750013,0,6832.5304172585,501.622296168227,7796.18197020437,2824.40317644248,3756.24515785554,8819.39200726067,10393.3438477589,7778.81101476929,8513.4782688035,8714.71365513822,9888.85023194484,1027.8542046913,2539.9210523723,1859.62330387486,4825.70338254064,5926.97117875598,7028.23897497038,16724.4050410836,18896.8517400671,17663.801207523,18096.8564183055,16679.030664658,15903.6197296704,7337.87552233304,7765.50071828961,1122.36156055562,18514.7393357117,17223.4475050186,17656.3748691493,17895.5330679548,17712.9353718515,17758.068712026,92263.0613769767,60338.8056127825,59915.2410757757,53170.131244803,52515.7098434593,45544.2219562792,44676.3668159403,45189.706577158,60864.2158800091,67894.7813636897,25914.9790197253,25704.1010722714,24794.9216459332,24808.0935272335,24872.0803683098,48570.4798218417,25562.9555088198,49319.5856919742,75048.9127757582,74723.2330274535,74299.6684904468,74612.1763574517,91508.327242043,73540.993227287,75397.0633091622,85000.9892054775,60710.694850972,130165.3681006,124696.608274665,91115.4714351296,88991.7765454079,94837.0832493327,90507.7585058368,90130.5670994742,103820.483204985,97346.4156362019,25747.4257703479
"ws-12A",34885.3761471161,88108.0641668342,88153.5171236385,91090.7639412676,78492.6923190198,70034.5095368655,80766.0657809699,38829.2397165019,44269.8471377367,43554.5647233772,50126.4009876276,52276.4408248393,59714.2596640022,69175.697607021,68401.7903545571,107470.763579796,94201.5201101493,69104.5159630104,101903.693567781,133577.685839876,63989.1801755712,83593.6902755062,78766.2051951966,76894.9670473429,105887.642817584,132431.890534109,115768.258542026,91616.646129155,88559.1979948482,86140.9497022354,6832.5304172585,0,6330.9081210911,1244.34984841869,4990.5712749773,4058.72929356286,2513.17089401369,4192.38459531434,1197.82483043037,1680.94785154555,1882.18323787972,3301.93082322502,7101.10775555975,4608.39494729561,4972.90711338476,3269.96936435087,2168.70156813401,1703.68489847577,22925.3642935282,25097.8109925117,23864.7604599675,24297.81567075,22879.9899171025,22104.5789821149,2466.10106508767,1687.60299978534,5710.16885670482,24715.6985881563,23032.8676026573,23857.3341215939,24096.4923203988,23669.1826525427,23959.0279644706,98464.0206294208,56046.5997400165,55623.0352030097,48877.925372037,48223.5039706933,41252.0160835132,40384.1609431743,40897.500704392,56572.010007243,63602.5754909238,21622.7731469592,21411.8951995053,20502.7157731671,20515.8876544675,20579.8744955437,44278.2739490756,21270.7496360537,45027.3798192082,81249.8720282023,80924.1922798976,80500.6277428909,80813.1356098958,97317.7473396814,69248.787354521,81598.0225616063,90810.4093031159,56418.4889782059,125873.162227834,120404.402401899,86823.2655623636,84699.5706726419,90544.8773765666,86215.5526330708,85838.3612267081,99528.2773322188,93054.2097634359,21455.2198975818
"ws-13",28940.4281823009,82163.1162020194,82208.5691588235,85145.8159764524,72547.7443542046,64089.5615720501,74821.1178161544,32884.2917516867,38324.8991729215,37609.616758562,44181.4530228118,46331.492860024,53769.311699187,63230.7496422061,62456.8423897421,101525.815614981,88256.5721453337,73140.7105481476,105939.888152918,137613.880425013,68025.3747607084,87629.8848606434,82802.3997803339,80931.1616324802,109923.837402722,136468.085119247,119804.453127163,95652.8407142923,92595.3925799854,90177.1442873727,501.622296168227,6330.9081210911,0,7294.55967403698,2322.78088027425,3254.62286168731,8458.1188588296,10137.3325601302,7277.1887186019,8011.8559726361,8213.09135897082,9387.22793577745,1373.90579347272,2038.29875620407,1358.00100770663,4324.08108637241,5425.34888258775,6526.61667880215,16980.4163287123,19152.8630276958,17919.8124951516,18352.8677059341,16935.0419522866,16159.631017299,6836.25322616481,7263.87842212139,620.739264387396,18770.7506233404,17087.9196378421,17912.386156778,18151.5443555832,17724.2346877274,18014.0799996547,92519.0726646053,60082.7943251538,59659.229788147,52914.1199571743,52259.6985558307,45288.2106686505,44420.3555283117,44933.6952895293,60608.2045923804,67638.770076061,25658.9677320966,25448.0897846427,24538.9103583045,24552.0822396049,24616.0690806811,48314.468534213,25306.9442211911,49063.5744043456,75304.9240633868,74979.2443150821,74555.6797780754,74868.1876450803,91372.7993748665,73284.9819396584,75653.0745967908,84865.461338301,60454.6835633433,129909.356812971,124440.596987037,90859.460147501,88735.7652577793,94581.071961704,90251.7472182082,89874.5558118455,103564.471917356,97090.4043485733,25491.4144827192
"ws-14",36129.7259955348,89352.4140152527,89397.8669720571,92335.1137896863,79737.0421674385,71278.8593852842,82010.4156293885,40073.5895649206,45514.1969861554,44798.9145717959,51370.7508360463,53520.790673258,60958.6095124208,70420.0474554396,69646.1402029757,108715.113428215,95445.8699585678,68300.6476637472,101099.825268518,132773.817540613,63185.311876308,82789.821976243,77962.3368959334,76091.0987480797,105083.774518321,131628.022234846,114964.390242762,90812.7778298918,87755.329695585,85337.0814029722,7796.18197020437,1244.34984841869,7294.55967403698,0,6234.92112339598,5303.07914198154,1268.82104559501,2948.03474689565,1545.5583995491,1069.45822468519,918.531684935783,2092.66826174048,8064.75930850562,5852.74479571429,6182.1696748693,4514.31921276956,3413.0514165526,2507.55319773898,24169.7141419469,26342.1608409304,25109.1103083862,25542.1655191687,24124.3397655212,23348.9288305336,3269.96936435087,2245.86029050981,6884.34413125525,25960.048436575,24277.217451076,25101.6839700126,25340.8421688175,24913.5325009614,25203.3778128893,99708.3704778394,55242.7314407533,54819.1669037465,48074.0570727738,47419.6356714301,40448.14778425,39580.2926439111,40093.6324051288,55768.1417079798,62798.7071916606,20818.904847696,20608.0269002421,19698.8474739039,19712.0193552042,19776.0061962805,43474.4056498124,20466.8813367905,44223.511519945,82494.2218766209,82168.5421283163,81744.9775913095,82057.4854583145,98562.0971881,68444.9190552578,82842.372410025,92054.7591515345,55614.6206789427,125069.29392857,119600.534102636,86019.3972631003,83895.7023733786,89741.0090773034,85411.6843338076,85034.4929274449,98724.4090329555,92250.3414641726,20651.3515983186
"ws-15",29894.8048721389,83117.4928918573,83162.9458486614,86100.1926662903,73502.1210440425,65043.9382618883,75775.4945059929,33838.6684415247,39279.2758627594,38563.9934483999,45135.8297126503,47285.869549862,54723.6883890249,64185.126332044,63411.2190795801,102480.192304819,89210.9488351723,72186.3338583095,104985.51146308,136659.503735175,67070.9980708703,86675.5081708053,81848.0230904958,79976.784942642,108969.460712883,135513.708429409,118850.076437325,94698.4640244541,91641.0158901473,89222.7675975346,2824.40317644248,4990.5712749773,2322.78088027425,6234.92112339598,0,931.841981414444,7503.74216899098,9182.95587029162,5129.84427300367,6180.29710944479,6662.23079125235,8292.50209820231,3696.68667374642,822.657876837173,1417.55949181575,2001.30020609927,3102.56800231627,4203.83579853261,17934.7930185509,20107.2397175344,18874.1891849902,19307.2443957727,17889.4186421252,17114.0077071376,4513.4723458914,4941.09754185267,1752.35046246996,19725.127313179,18042.29632768,18866.7628466166,19105.9210454215,18678.6113775654,18968.4566894933,93473.4493544437,59128.4176353156,58704.8530983088,51959.7432673361,51305.3218659924,44333.8339788123,43465.9788384734,43979.3185996911,59653.8279025422,66684.3933862229,24704.5910422584,24493.7130948045,23584.5336684663,23597.7055497666,23661.6923908429,47360.0918443748,24352.5675313529,48109.1977145073,76259.3007532252,75933.6210049205,75510.0564679138,75822.5643349187,92327.1760647043,72330.6052498203,76607.4512866292,85819.8380281388,59500.306873505,128954.980123133,123486.220297199,89905.083457663,87781.3885679412,93626.695271866,89297.3705283702,88920.1791220075,102610.095227518,96136.0276587352,24537.037792881
"ws-15A",30826.6468535533,84049.3348732716,84094.7878300757,87032.0346477048,74433.963025457,65975.7802433027,76707.3364874073,34770.5104229391,40211.1178441739,39495.8354298144,46067.6716940648,48217.7115312764,55655.5303704393,65116.9683134584,64343.0610609945,103412.034286233,90142.7908165867,71792.8582147528,104592.035819523,136266.028091618,66677.5224273136,86282.0325272486,81454.547446939,79583.3092990853,108575.985069327,135120.232785852,118456.600793768,94304.9883808974,91247.5402465906,88829.2919539779,3756.24515785554,4058.72929356286,3254.62286168731,5303.07914198154,931.841981414444,0,6571.90018757654,8251.11388887718,4198.00229158923,5248.45512803035,5730.38880983791,7360.66011678787,4075.13134274514,1216.32410548324,1896.62185398068,1069.4582246851,2170.72602090182,3271.99381711816,18866.6349999653,21039.0816989488,19806.0311664047,20239.0863771872,18821.2606235397,18045.8496885521,3581.63036447751,4009.25556043823,2633.88359729992,20656.9692945934,18974.1383090945,19798.604828031,20037.7630268359,19610.4533589798,19900.2986709077,94405.2913358581,58734.9419917589,58311.3774547521,51566.2676237794,50911.8462224357,43940.3583352556,43072.5031949167,43585.8429561344,59260.3522589854,66290.9177426662,24311.1153987017,24100.2374512478,23191.0580249096,23204.2299062099,23268.2167472862,46966.616200818,23959.0918877961,47715.7220709506,77191.1427346396,76865.4629863349,76441.8984493281,76754.4063163331,93259.0180461187,71937.1296062636,77539.2932680436,86751.6800095532,59106.8312299483,128561.504479576,123092.744653642,89511.6078141063,87387.9129243845,93233.2196283093,88903.8948848135,88526.7034784508,102216.619583961,95742.5520151785,24143.5621493243
"ws-16",37398.5470411298,90621.2350608477,90666.6880176522,93603.9348352813,81005.8632130335,72547.6804308792,83279.2366749834,41342.4106105156,46783.0180317504,46067.7356173909,52639.5718816413,54789.611718853,62227.4305580158,71688.8685010345,70914.9612485706,109983.93447381,96714.6910041628,67521.2505616603,100320.428166431,131994.420438526,62405.9147742211,82010.4248741561,77182.9397938465,75311.7016459928,104304.377416234,130848.625132759,114184.993140675,90033.3807278049,86975.9325934981,84557.6843008853,8819.39200726067,2513.17089401369,8458.1188588296,1268.82104559501,7503.74216899098,6571.90018757654,0,1679.21370130064,2373.89789598745,1568.15703129895,1086.22334949139,1069.45822468417,9087.96934556192,7121.56584130929,7450.9907204643,5783.14025836456,4681.8724621476,3580.60466593126,25438.5351875419,27610.9818865254,26377.9313539813,26810.9865647637,25393.1608111162,24617.7498761286,4049.36646643789,3025.25739259676,8153.16517685026,27228.86948217,25546.038496671,26370.5050156076,26609.6632144125,26182.3535465564,26472.1988584843,100977.191523434,54463.3343386664,54039.7698016596,47294.6599706869,46640.2385693433,39668.7506821631,38800.8955418243,39314.2353030419,54988.744605893,62019.3100895738,20039.5077456091,19828.6297981552,18919.450371817,18932.6222531174,18996.6090941936,42695.0085477256,19687.4842347036,43444.1144178582,83763.0429222159,83437.3631739112,83013.7986369045,83326.3065039094,99830.918233695,67665.521953171,84111.1934556199,93323.5801971295,54835.2235768559,124289.896826483,118821.137000549,85240.0001610134,83116.3052712917,88961.6119752164,84632.2872317206,84255.0958253579,97945.0119308686,91470.9443620857,19871.9544962317
"ws-18",39077.7607424305,92300.4487621482,92345.9017189528,95283.1485365819,82685.0769143341,74226.8941321799,84958.4503762839,43021.6243118163,48462.231733051,47746.9493186915,54318.7855829419,56468.8254201536,63906.6442593165,73368.082202335,72594.1749498711,111663.14817511,98393.9047054633,66429.3455925678,99228.5231973384,130902.515469433,61314.0098051286,80918.5199050636,76091.0348247541,74219.7966769004,103212.472447142,129756.720163667,113093.088171583,88941.4757587124,85884.0276244056,83465.7793317929,10393.3438477589,4192.38459531434,10137.3325601302,2948.03474689565,9182.95587029162,8251.11388887718,1679.21370130064,0,4053.11159728796,3002.65876084684,2520.72507903928,1037.28095514071,10381.2228905874,8800.77954260993,9130.20442176494,7462.3539596652,6361.08616344824,5259.8183672319,27117.7488888426,29290.195587826,28057.1450552819,28490.2002660644,27072.3745124169,26296.9635774293,5581.75298468701,4557.64391084595,9832.3788781509,28908.0831834707,27225.2521979717,28049.7187169083,28288.8769157131,27861.567247857,28151.4125597849,102656.405224735,53371.429369574,52947.8648325672,46202.7550015945,45548.3336002508,38576.8457130707,37708.9905727318,38222.3303339495,53896.8396368005,60927.4051204813,18947.6027765166,18736.7248290627,17827.5454027245,17840.7172840249,17904.7041251011,41603.1035786331,18595.5792656111,42352.2094487657,85442.2566235165,85116.5768752118,84693.0123382051,85005.52020521,101510.131934996,66573.6169840786,85790.4071569205,95002.7938984301,53743.3186077634,123197.991857391,117729.232031456,84148.0951919208,82024.4003021991,87869.7070061239,83540.3822626281,83163.1908562654,96853.106961776,90379.0393929931,18780.0495271392
"ws-23",35024.6491451425,88247.3371648605,88292.7901216648,91230.036939294,78631.9653170462,70173.7825348919,80905.3387789963,38968.5127145283,44409.1201357631,43693.8377214036,50265.673985654,52415.7138228656,59853.5326620285,69314.9706050473,68541.0633525835,107610.036577823,94340.7931081756,69846.2060632963,102645.383668067,134319.375940162,64730.8702758571,84335.3803757921,79507.8952954825,77636.6571476288,106629.33291787,133173.580634395,116509.948642311,92358.3362294409,89300.8880951341,86882.6398025213,7778.81101476929,1197.82483043037,7277.1887186019,1545.5583995491,5129.84427300367,4198.00229158923,2373.89789598745,4053.11159728796,0,1050.45283644112,1532.38651824868,3162.65782519865,8047.3883530733,5238.88996239949,5919.18771089555,3409.24236237725,2307.97456616029,1206.70676994395,23064.6372915546,25237.0839905381,24004.0334579939,24437.0886687764,23019.2629151289,22243.8519801413,1724.41096480178,700.301890960714,6656.44945421561,24854.9715861827,23172.1406006837,23996.6071196203,24235.7653184252,23808.4556505691,24098.300962497,98603.293627447,56788.2898403024,56364.7253032956,49619.6154723229,48965.1940709792,41993.7061837991,41125.8510434602,41639.1908046779,57313.700107529,64344.2655912097,22364.4632472451,22153.5852997912,21244.405873453,21257.5777547533,21321.5645958296,45019.9640493615,22012.4397363396,45769.0699194941,81389.1450262286,81063.4652779239,80639.9007409171,80952.4086079221,97457.0203377077,69990.4774548068,81737.2955596326,90949.6823011422,57160.1790784918,126614.852328119,121146.092502185,87564.9556626494,85441.2607729277,91286.5674768524,86957.2427333566,86580.0513269939,100269.967432505,93795.8998637217,22196.9099978677
"ws-25",36075.1019815836,89297.7900013015,89343.242958106,92280.4897757351,79682.4181534873,71224.235371333,81955.7916154373,40018.9655509694,45459.5729722042,44744.2905578447,51316.1268220951,53466.1666593067,60903.9854984696,70365.4234414884,69591.5161890245,108660.489414264,95391.2459446166,69089.4075929593,101888.58519773,133562.577469825,63974.0718055201,83578.581905455,78751.0968251455,76879.8586772918,105872.534447533,132416.782164058,115753.150171974,91601.5377591039,88544.089624797,86125.8413321843,8513.4782688035,1680.94785154555,8011.8559726361,1069.45822468519,6180.29710944479,5248.45512803035,1568.15703129895,3002.65876084684,1050.45283644112,0,481.933681807597,2112.20498875753,8782.05560710474,5973.55721643369,6653.85496492975,4459.69519881837,3358.42740260141,2257.15960638506,24115.0901279957,26287.5368269792,25054.4862944351,25487.5415052176,24069.71575157,23294.3048165824,2579.09422384024,1554.98514999911,7391.11670824981,25905.4244226238,24222.5934371248,25047.0599560614,25286.2181548663,24858.9084870102,25148.7537989381,99653.7464638881,56031.4913699654,55607.9268329586,48862.8170019859,48208.3956006422,41236.9077134621,40369.0525731232,40882.3923343409,56556.9016371919,63587.4671208727,21607.664776908,21396.7868294541,20487.607403116,20500.7792844163,20564.7661254926,44263.1655790245,21255.6412660025,45012.2714491571,82439.5978626697,82113.918114365,81690.3535773582,82002.8614443632,98507.4731741488,69233.6789844698,82787.7483960737,92000.1351375832,56403.3806081548,125858.053857782,120389.294031848,86808.1571923123,84684.4623025906,90529.7690065154,86200.4442630195,85823.2528566569,99513.1689621675,93039.1013933846,21440.1115275306
"ws-25A",36557.0356633912,89779.7236831091,89825.1766399135,92762.4234575427,80164.3518352948,71706.1690531406,82437.7252972448,40500.899232777,45941.5066540117,45226.2242396523,51798.0605039026,53948.1003411143,61385.9191802772,70847.3571232959,70073.449870832,109142.423096071,95873.1796264242,68607.4739111517,101406.651515922,133080.643788017,63492.1381237125,83096.6482236475,78269.1631433379,76397.9249954842,105390.600765726,131934.848482251,115271.216490167,91119.6040772963,88062.1559429895,85643.9076503767,8714.71365513822,1882.18323787972,8213.09135897082,918.531684935783,6662.23079125235,5730.38880983791,1086.22334949139,2520.72507903928,1532.38651824868,481.933681807597,0,1630.27130694996,8983.29099343946,6280.05446357066,6855.09035126447,4941.62888062593,3840.36108440897,2739.09328819263,24597.0238098033,26769.4705087868,25536.4199762426,25969.4751870251,24551.6494333776,23776.23849839,3061.02790564783,2036.91883180671,7592.35209458453,26387.3581044314,24704.5271189324,25528.993637869,25768.1518366738,25340.8421688178,25630.6874807457,100135.680145696,55549.5576881578,55125.993151151,48380.8833201783,47726.4619188346,40754.9740316545,39887.1188913157,40400.4586525333,56074.9679553844,63105.5334390652,21125.7310951005,20914.8531476466,20005.6737213084,20018.8456026087,20082.832443685,43781.231897217,20773.707584195,44530.3377673495,82921.5315444772,82595.8517961725,82172.2872591658,82484.7951261708,98989.4068559563,68751.7453026623,83269.6820778813,92482.0688193908,55921.4469263473,125376.120175975,119907.36035004,86326.2235105048,84202.528620783,90047.8353247078,85718.510581212,85341.3191748493,99031.2352803599,92557.167711577,20958.1778457231
"ws-25B",38187.3069703411,91409.9949900589,91455.4479468635,94392.6947644926,81794.6231422448,73336.4403600906,84067.9966041947,42131.1705397269,47571.7779609617,46856.4955466022,53428.3318108526,55578.3716480643,63016.1904872272,72477.6284302457,71703.7211777819,110772.694403021,97503.450933374,67466.6265477085,100265.804152479,131939.796424574,62351.2907602693,81955.8008602043,77128.3157798948,75257.0776320411,104249.753402282,130794.001118807,114130.369126724,89978.7567138531,86921.3085795463,84503.0602869336,9888.85023194484,3301.93082322502,9387.22793577745,2092.66826174048,8292.50209820231,7360.66011678787,1069.45822468417,1037.28095514071,3162.65782519865,2112.20498875753,1630.27130694996,0,10157.4275702461,7910.32577052062,8239.75064967563,6571.90018757589,5470.63239135893,4369.36459514259,26227.2951167533,28399.7418157367,27166.6912831926,27599.7464939751,26181.9207403276,25406.50980534,4691.2992125977,3667.19013875664,8941.92510606158,28017.6294113814,26334.7984258824,27159.264944819,27398.4231436238,26971.1134757677,27260.9587876956,101765.951452646,54408.7103247147,53985.1457877079,47240.0359567352,46585.6145553915,39614.1266682114,38746.2715278725,39259.6112890902,54934.1205919412,61964.686075622,19984.8837316573,19774.0057842034,18864.8263578652,18877.9982391656,18941.9850802418,42640.3845337738,19632.8602207518,43389.4904039064,84551.8028514271,84226.1231031225,83802.5585661157,84115.0664331207,100619.678162906,67610.8979392193,84899.9533848312,94112.3401263407,54780.5995629041,124235.272812531,118766.512986597,85185.3761470615,83061.6812573398,88906.9879612646,84577.6632177688,84200.4718114061,97890.3879169167,91416.3203481338,19817.3304822799
"ws-2C",30103.8102541684,83326.4982738868,83371.9512306909,86309.1980483199,73711.1264260721,64371.9805456052,75103.5367897089,34047.6738235543,39488.281244789,38772.9988304295,44463.8719963663,46760.7390166317,54932.6937710545,64394.1317140736,63620.2244616096,101808.234588536,88538.9911188882,72858.2915745932,105657.469179364,137331.461451459,67742.9557871539,87347.4658870889,82519.9808067794,80648.7426589257,109641.418429167,136185.666145692,119522.034153608,95370.4217407378,92312.9736064309,89894.7253138182,1027.8542046913,7101.10775555975,1373.90579347272,8064.75930850562,3696.68667374642,4075.13134274514,9087.96934556192,10381.2228905874,8047.3883530733,8782.05560710474,8983.29099343946,10157.4275702461,0,2909.11608384501,2279.12718193067,5094.28072084714,6195.54851706247,7296.81631327688,17262.8353022668,19435.2820012503,18202.2314687062,18635.2866794887,17217.4609258411,16442.0499908535,7606.45286063954,8034.07805659611,1944.33621127646,19053.1695968949,18251.3017097096,18194.8051303325,18433.9633291384,18740.7895765425,18296.4989732095,92801.4916381599,59800.3753515993,59376.8108145925,52631.7009836199,51977.2795822762,45005.791695096,44137.9365547572,44651.2763159749,60325.7856188259,67356.3511025066,25376.5487585421,25165.6708110882,24256.49138475,24269.6632660504,24333.6501071266,48032.0495606585,25024.5252476366,48781.1554307911,75587.3430369414,75261.6632886367,74838.09875163,75150.606618635,92536.181446734,73002.5629661037,75935.4935703455,86028.8434101685,60172.2645897888,129626.937839416,124158.178013482,90577.0411739464,88453.3462842247,94298.6529881494,89969.3282446536,89592.1368382909,103282.052943802,96807.9853750187,25208.9955091647
"ws-6",30276.9811998206,83499.6692195389,83545.1221763431,86482.368993972,73884.2973717242,65426.11458957,76157.6708336746,34220.8447692064,39661.4521904411,38946.1697760816,45518.006040332,47668.0458775437,55105.8647167066,64567.3026597257,63793.3954072618,102862.368632501,89593.1251628539,71804.1575306275,104603.335135398,136277.327407493,66688.8217431883,86293.3318431232,81465.8467628137,79594.60861496,108587.284385201,135131.532101727,118467.900109643,94316.2876967721,91258.8395624652,88840.5912698525,2539.9210523723,4608.39494729561,2038.29875620407,5852.74479571429,822.657876837173,1216.32410548324,7121.56584130929,8800.77954260993,5238.88996239949,5973.55721643369,6280.05446357066,7910.32577052062,2909.11608384501,0,680.297748497446,2285.78233016834,3387.05012638368,4488.31792259891,18316.9693462326,20489.4160452161,19256.3655126719,19689.4207234544,18271.5949698069,17496.1840348193,4797.95446996074,5225.57966591897,1417.55949181668,20107.3036408607,18424.4726553617,19248.9391742983,19488.0973731032,19060.7877052471,19350.633017175,93855.6256821254,58746.2413076335,58322.6767706267,51577.5669396541,50923.1455383104,43951.6576511302,43083.8025107914,43597.1422720091,59271.6515748601,66302.2170585409,24322.4147145763,24111.5367671224,23202.3573407843,23215.5292220846,23279.5160631609,46977.9155166927,23970.3912036708,47727.0213868253,76641.4770809069,76315.7973326023,75892.2327955955,76204.7406626005,92709.352392386,71948.4289221383,76989.627614311,86202.0143558205,59118.130545823,128572.803795451,123104.043969517,89522.9071299809,87399.2122402592,93244.518944184,88915.1942006881,88538.0027943255,102227.918899836,95753.8513310532,24154.8614651989
