"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","PC4C-B08-1","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"ws-25A",114005.489405439,107584.582750949,102577.432515298,99573.1423739075,92504.3602797118,88910.9664628992,83664.7574859554,81253.0806932823,74433.8863602673,66599.223286938,61193.7853727626,43230.7879728598,72843.352637716,79673.0759906187,54128.5129518633,86076.4342786289,85660.5982336239,60781.4590010534,66599.223286938,44228.7083466935,89500.0701383209,54128.5129518633,47059.7308576682,19910.5954031758,19910.5954031758,20322.921774885,2002.86009426054,1413.75641883946,1001.43004713033,997.920373833738,1413.75641883872,6656.45572248658,7068.78209419509,7068.78209419509,24976.517403111,26390.2738219498,19498.2690314674,8648.78679685824,25742.3983822446,20735.2481465935,20735.2481465935,9064.62284186322,113416.385730018,23975.0873559807,24387.4137276893,26979.3774973715,0,0,1001.43004713021,2415.18646596902,3004.29014139075,3416.61651309923,4830.37293193869,5242.6993036472,6656.45572248658,25919.1756859573,39997.9681100648,25330.0720105361,71336.6204033828,92542.9666859686,74665.9257549674,81911.4851528757,8066.70246802948,25506.8493142489,36345.8025289691,98963.8733404594,81267.1193864665,52015.128675628,21324.3518220152,53959.2170056046,61617.1027752221,44946.346581433,70393.9621205357,86565.0807811019,86565.0807811019,87566.5108282321,87566.5108282321,88980.2672470708,85151.3243622624,88910.9664628992,80055.1699952753,81527.698178398,95724.034131072,83117.7698900878,11060.4635895314,82528.666214666,82528.666214666,26154.7247539538,65386.8118848844,70428.1661717463,86565.0807811019,87909.5364157689,99573.1423739075,84246.8418147854,114005.489405439
"ws-25",114005.489405439,107584.582750949,102577.432515298,99573.1423739075,92504.3602797118,88910.9664628992,83664.7574859554,81253.0806932823,74433.8863602673,66599.223286938,61193.7853727626,43230.7879728598,72843.352637716,79673.0759906187,54128.5129518633,86076.4342786289,85660.5982336239,60781.4590010534,66599.223286938,44228.7083466935,89500.0701383209,54128.5129518633,47059.7308576682,19910.5954031758,19910.5954031758,20322.921774885,2002.86009426054,1413.75641883946,1001.43004713033,997.920373833738,1413.75641883872,6656.45572248658,7068.78209419509,7068.78209419509,24976.517403111,26390.2738219498,19498.2690314674,8648.78679685824,25742.3983822446,20735.2481465935,20735.2481465935,9064.62284186322,113416.385730018,23975.0873559807,24387.4137276893,26979.3774973715,0,0,1001.43004713021,2415.18646596902,3004.29014139075,3416.61651309923,4830.37293193869,5242.6993036472,6656.45572248658,25919.1756859573,39997.9681100648,25330.0720105361,71336.6204033828,92542.9666859686,74665.9257549674,81911.4851528757,8066.70246802948,25506.8493142489,36345.8025289691,98963.8733404594,81267.1193864665,52015.128675628,21324.3518220152,53959.2170056046,61617.1027752221,44946.346581433,70393.9621205357,86565.0807811019,86565.0807811019,87566.5108282321,87566.5108282321,88980.2672470708,85151.3243622624,88910.9664628992,80055.1699952753,81527.698178398,95724.034131072,83117.7698900878,11060.4635895314,82528.666214666,82528.666214666,26154.7247539538,65386.8118848844,70428.1661717463,86565.0807811019,87909.5364157689,99573.1423739075,84246.8418147854,114005.489405439
"ws-23",115006.919452569,108586.012798079,103578.862562428,100574.572421038,93505.790326842,89912.3965100294,84666.1875330856,82254.5107404125,75435.3164073975,67600.6533340682,62195.2154198928,44232.21801999,73844.7826848462,80674.5060377489,55129.9429989935,87077.8643257591,86662.0282807541,61782.8890481837,67600.6533340682,45230.1383938237,90501.5001854511,55129.9429989935,48061.1609047984,20912.025450306,20912.025450306,21324.3518220152,3004.29014139075,2415.18646596967,2002.86009426054,1413.75641883872,997.920373833738,5655.02567535637,6652.9460491901,6652.9460491901,23975.0873559807,25388.8437748196,20499.6990785976,8232.95075185326,24740.9683351144,21736.6781937237,21736.6781937237,8648.78679685824,114417.815777148,22973.6573088505,23385.983680559,25977.9474502413,1001.43004713021,1001.43004713021,0,1413.7564188388,2002.86009426054,2415.18646596902,3828.94288480848,4241.26925651699,5655.02567535637,24917.7456388271,40999.398157195,24328.6419634059,70335.1903562525,91541.5366388384,75667.3558020976,82912.9152000059,7650.8664230245,24505.4192671187,35344.3724818389,97962.4432933292,82268.5494335968,51013.6986284977,22325.7818691454,52957.7869584744,60615.6727280919,43944.9165343028,69392.5320734055,87566.5108282321,87566.5108282321,88567.9408753623,88567.9408753623,89981.697294201,86152.7544093926,89912.3965100294,79053.7399481451,80526.2681312677,94722.6040839418,82116.3398429575,10644.6275445264,81527.2361675358,81527.2361675358,25153.2947068236,64385.3818377542,71429.5962188766,87566.5108282321,88910.9664628991,100574.572421038,85248.2718619156,115006.919452569
"ws-A5",115596.023127991,109175.116473501,104167.96623785,101163.67609646,94094.8940022638,90501.5001854512,85255.2912085075,82843.6144158344,76024.4200828194,68189.75700949,62784.3190953147,44821.3216954118,74433.8863602681,81263.6097131708,55719.0466744154,87666.968001181,87251.131956176,62371.9927236055,68189.75700949,45819.2420692456,91090.603860873,55719.0466744154,48650.2645802202,21501.1291257279,21501.1291257279,21913.455497437,4418.04656022956,3828.94288480848,3416.61651309934,2002.86009426054,1001.43004713033,4241.26925651756,5239.1896303513,5239.1896303513,22561.3309371419,23975.0873559808,21088.8027540194,6819.19433301473,23327.2119162756,22325.7818691455,22325.7818691455,7235.03037801943,115006.91945257,21559.9008900117,21972.2272617202,24564.1910314024,2415.18646596902,2415.18646596902,1413.7564188388,0,1413.75641883872,1001.43004713021,2415.18646596967,2827.51283767818,4241.26925651756,23503.9892199883,41588.5018326169,22914.8855445671,68921.4339374137,90127.7802199996,76256.4594775195,83502.0188754278,6237.1100041857,23091.6628482799,33930.616063,96548.6868744904,82857.6531090186,49599.9422096589,22914.8855445672,51544.0305396356,59201.9163092531,42531.160115464,67978.7756545667,88155.6145036539,88155.6145036539,89157.0445507842,89157.0445507842,90570.8009696229,86741.8580848145,90501.5001854513,77639.9835293063,79112.5117124289,93308.847665103,80702.5834241187,9230.87112568784,80113.479748697,80113.479748697,23739.5382879848,62971.6254189154,72018.6998942984,88155.6145036539,89500.070138321,101163.67609646,85837.3755373375,115596.023127991
"ws-PPC",117009.77954683,110588.87289234,105581.722656689,102577.432515298,95508.6504211025,91915.2566042899,86669.0476273462,84257.3708346731,77438.1765016581,69603.5134283287,64198.0755141534,46235.0781142505,75847.6427791068,82677.3661320094,57132.8030932541,89080.7244200196,88664.8883750147,63785.7491424442,69603.5134283287,47232.9984880843,92504.3602797117,57132.8030932541,50064.0209990589,22914.8855445666,22914.8855445666,23327.2119162757,5007.15023565129,4418.04656023021,4005.72018852108,3416.61651309923,2415.18646596902,4823.35358534632,5821.27395918006,5821.27395918006,21972.2272617202,23385.983680559,22502.5591728581,7401.27866184375,22738.1082408539,23739.5382879842,23739.5382879842,7817.11470684846,116420.675871409,20970.79721459,21383.1235862985,23975.0873559807,3004.29014139075,3004.29014139075,2002.86009426054,1413.75641883872,0,997.920373833738,2411.6767926732,3409.59716650694,4823.35358534632,22914.8855445666,43002.2582514556,22325.7818691454,68332.330261992,89538.6765445778,77670.2158963582,84915.7752942665,6819.19433301473,22502.5591728581,33341.5123875783,95959.5831990686,84271.4095278573,49010.8385342372,24328.6419634059,50954.9268642139,58612.8126338313,41942.0564400422,67389.671979145,89569.3709224926,89569.3709224926,90570.8009696228,90570.8009696228,91984.5573884616,88155.6145036532,91915.25660429,77050.8798538846,78523.4080370072,92719.7439896813,80113.479748697,9812.95545451687,79524.3760732753,79524.3760732753,23150.4346125631,62382.5217434937,73432.4563131371,89569.3709224926,90913.8265571596,102577.432515298,87251.1319561761,117009.77954683
"ws-A3",116597.453175121,110176.546520631,105169.396284981,102165.10614359,95096.3240493941,91502.9302325814,86256.7212556377,83845.0444629646,77025.8501299496,69191.1870566202,63785.7491424449,45822.751742542,75435.3164073983,82265.039760301,56720.4767215456,88668.3980483112,88252.5620033062,63373.4227707357,69191.1870566202,46820.6721163758,92092.0339080032,56720.4767215456,49651.6946273504,22502.5591728581,22502.5591728581,22914.8855445672,5419.47660735977,4830.37293193869,4418.04656022956,3004.29014139075,2002.86009426054,3825.43321151258,4823.35358534632,4823.35358534632,21559.9008900117,22973.6573088505,22090.2328011496,6403.35828801002,22325.7818691454,23327.2119162757,23327.2119162757,6819.19433301473,116008.3494997,20558.4708428815,20970.79721459,23562.7609842722,3416.61651309923,3416.61651309923,2415.18646596902,1001.43004713021,997.920373833738,0,1413.75641883946,2411.6767926732,3825.43321151258,22502.5591728581,42589.9318797471,21913.4554974369,67920.0038902835,89126.3501728694,77257.8895246497,84503.448922558,5821.27395918099,22090.2328011496,32929.1860158698,95547.2568273602,83859.0831561488,48598.5121625287,23916.3155916975,50542.6004925054,58200.4862621228,41529.7300683337,66977.3456074365,89157.0445507842,89157.0445507842,90158.4745979144,90158.4745979144,91572.2310167531,87743.2881319447,91502.9302325815,76638.5534821761,78111.0816652987,92307.4176179728,79701.1533769885,8815.03508068313,79112.0497015668,79112.0497015668,22738.1082408546,61970.1953717852,73020.1299414286,89157.0445507842,90501.5001854512,102165.10614359,86838.8055844677,116597.453175121
"ws-A1",117186.556850542,110765.650196052,105758.499960402,102754.209819011,95685.4277248153,92092.0339080026,86845.8249310589,84434.1481383858,77614.9538053708,69780.2907320414,64374.8528178661,46411.8554179632,76024.4200828195,82854.1434357222,57309.5803969668,89257.5017237324,88841.6656787274,63962.5264461569,69780.2907320414,47409.775791797,92681.1375834244,57309.5803969668,50240.7983027716,23091.6628482793,23091.6628482793,23503.9892199884,6833.23302619923,6244.12935077815,5831.80297906902,4418.04656023021,3416.6165131,2411.67679267312,3409.59716650686,3409.59716650686,20146.1444711723,21559.9008900111,22679.3364765708,4989.60186917055,20912.0254503059,23916.3155916969,23916.3155916969,5405.43791417526,116597.453175121,19144.7144240421,19557.0407957506,22149.0045654328,4830.37293193869,4830.37293193869,3828.94288480848,2415.18646596967,2411.6767926732,1413.75641883946,0,997.920373833738,2411.67679267312,21088.8027540187,43179.0355551683,20499.6990785975,66506.2474714441,87712.5937540299,77846.9932000709,85092.5525979792,4407.51754034153,20676.4763823102,31515.4295970304,94133.5004085207,84448.18683157,47184.7557436893,24505.4192671187,49128.8440736659,56786.7298432834,40115.9736494943,65563.589188597,89746.1482262053,89746.1482262053,90747.5782733356,90747.5782733356,92161.3346921743,88332.3918073659,92092.0339080027,75224.7970633366,76697.3252464593,90893.6611991333,78287.3969581491,7401.27866184367,77698.2932827273,77698.2932827273,21324.3518220151,60556.4389529457,73609.2336168498,89746.1482262053,91090.6038608724,102754.209819011,87427.9092598889,117186.556850542
"ws-15A",116774.230478834,110353.323824344,105346.173588693,102341.883447302,95273.1013531068,91679.7075362942,86433.4985593504,84021.8217666773,77202.6274336623,69367.964360333,63962.5264461576,45999.5290462548,75612.093711111,82441.8170640137,56897.2540252583,88845.1753520239,88429.3393070189,63550.2000744484,69367.964360333,46997.4494200885,92268.8112117159,56897.2540252583,49828.4719310632,22679.3364765708,22679.3364765708,23091.66284828,7245.55939790771,6656.45572248666,6244.12935077749,4830.37293193869,3828.94288480848,1413.75641883938,2411.67679267312,2411.67679267312,19733.8180994638,21147.5745183026,22267.0101048624,3991.68149533682,20499.6990785975,23503.9892199884,23503.9892199884,4407.51754034153,116185.126803413,18732.3880523335,19144.7144240421,21736.6781937243,5242.6993036472,5242.6993036472,4241.26925651699,2827.51283767818,3409.59716650694,2411.6767926732,997.920373833738,0,1413.75641883938,20676.4763823102,42766.7091834598,20087.372706889,66093.9210997356,87300.2673823214,77434.6668283624,84680.2262262707,3409.59716650779,20264.1500106017,31103.1032253219,93721.1740368122,84035.8604598615,46772.4293719808,24093.0928954102,48716.5177019575,56374.4034715749,39703.6472777858,65151.2628168885,89333.8218544969,89333.8218544969,90335.2519016271,90335.2519016271,91749.0083204658,87920.0654356574,91679.7075362942,74812.4706916281,76284.9988747508,90481.3348274249,77875.0705864406,6403.35828800993,77285.9669110188,77285.9669110188,20912.0254503066,60144.1125812372,73196.9072451413,89333.8218544969,90678.2774891639,102341.883447303,87015.5828881804,116774.230478834
"ws-15",117363.334154255,110942.427499765,105935.277264114,102930.987122724,95862.2050285279,92268.8112117152,87022.6022347715,84610.9254420984,77791.7311090834,69957.068035754,64551.6301215787,46588.6327216758,76201.1973865321,83030.9207394348,57486.3577006794,89434.279027445,89018.44298244,64139.3037498695,69957.068035754,47586.5530955096,92857.914887137,57486.3577006794,50417.5756064842,23268.4401519919,23268.4401519919,23680.766523701,8659.31581674709,8070.21214132604,7657.88576961687,6244.12935077807,5242.69930364786,0,997.920373833738,997.920373833738,18320.0616806244,19733.8180994632,22856.1137802834,3409.59716650686,19085.9426597581,24093.0928954095,24093.0928954095,2993.76112150215,116774.230478834,17318.6316334942,17730.9580052027,20322.9217748849,6656.45572248658,6656.45572248658,5655.02567535637,4241.26925651756,4823.35358534632,3825.43321151258,2411.67679267312,1413.75641883938,0,19262.7199634708,43355.8128588809,18673.6162880496,64680.1646808962,85886.5109634821,78023.7705037835,85269.3299016918,1995.84074766841,18850.3935917624,29689.3468064826,92307.4176179729,84624.9641352826,45358.6729531414,24682.1965708313,47302.7612831181,54960.6470527356,38289.8908589465,63737.5063980492,89922.9255299179,89922.9255299179,90924.3555770482,90924.3555770482,92338.1119958869,88509.1691110785,92268.8112117153,73398.7142727888,74871.2424559114,89067.5784085855,76461.3141676012,4989.60186917055,75872.2104921795,75872.2104921795,19498.2690314672,58730.3561623978,73786.0109205624,89922.9255299179,91267.381164585,102930.987122724,87604.6865636015,117363.334154255
"ws-W6",136626.054117726,130205.147463236,125197.997227585,122193.707086194,115124.924991999,111531.531175186,106285.322198242,103873.645405569,97054.4510725542,89219.7879992248,83814.3500850495,65851.3526851467,95463.9173500029,102293.640702906,76749.0776641502,108696.998990916,108281.162945911,83402.0237133403,89219.7879992248,66849.2730589804,112120.634850608,76749.0776641502,69680.2955699551,42531.1601154627,42531.1601154627,42943.4864871719,27922.0357802179,27332.9321047968,26920.6057330877,25506.8493142489,24505.4192671187,19262.7199634708,18850.3935917624,18850.3935917624,6237.11000418578,6819.19433301473,42118.8337437543,19027.170895475,2411.6767926732,43355.8128588804,43355.8128588804,18025.7408483448,136036.950442305,6652.94604919076,7650.8664230245,5405.43791417628,25919.1756859573,25919.1756859573,24917.7456388271,23503.9892199883,22914.8855445666,22502.5591728581,21088.8027540187,20676.4763823102,19262.7199634708,0,62618.5328223517,1413.75641883946,46242.0974608424,67448.4437434282,97286.4904672543,104532.049865163,18438.0672200532,997.920373833738,11251.2795864287,73869.350397919,103887.684098753,26095.9529896706,43944.9165343021,28040.0413196473,36522.5798326817,19851.8236388926,45299.4391779954,109185.645493389,109185.645493389,110187.075540519,110187.075540519,111600.831959358,107771.889074549,111531.531175186,54960.647052735,56433.1752358576,70629.5111885317,57198.5942041305,18850.3935917624,56609.4905287087,56609.4905287087,3409.59716650787,39467.6361989271,93048.7308840333,109185.645493389,110530.101128056,122193.707086194,106867.406527072,136626.054117726
"ak-47",75764.3033017499,69343.3966472598,64336.2464116091,61331.9562702184,54263.1741760227,50669.7803592101,45423.5713822663,43011.8945895932,36192.7002565782,28358.0371832488,22952.5992690735,5821.2739591809,34602.1665340269,41431.8898869296,15301.732846049,47835.2481749398,47419.4121299348,22540.2728973643,28358.0371832488,6819.19433301464,51258.8840346318,15301.732846049,8232.9507518541,20912.0254503059,20912.0254503059,21324.3518220151,37995.1080158043,39408.8644346437,38996.5380629345,39585.6417383563,40587.0717854866,43355.8128588809,43768.1392305894,43768.1392305894,61675.8745395052,63089.630958344,20499.6990785975,43591.3619268768,62441.755518639,21736.6781937236,21736.6781937236,44592.791974007,75175.1996263287,60674.444492375,61086.7708640835,63678.7346337658,39997.9681100648,39997.9681100648,40999.398157195,41588.5018326169,43002.2582514556,42589.9318797471,43179.0355551683,42766.7091834598,43355.8128588809,62618.5328223517,0,62029.4291469305,108035.977539777,129242.323822363,36424.7396512783,43670.2990491866,44180.4656022985,62206.2064506433,73045.1596653634,135663.230476854,43025.9332827774,88714.4858120224,20322.9217748849,90658.574141999,98316.4599116165,81645.7037178274,107093.31925693,48323.8946774128,48323.8946774128,49325.324724543,49325.324724543,50739.0811433817,46910.1382585733,50669.7803592101,116754.52713167,118227.055314792,132423.391267466,119817.127026482,45417.4447174246,119228.02335106,119228.02335106,62854.0818903481,102086.169021279,32186.9800680572,48323.8946774128,49668.3503120798,61331.9562702184,46005.6557110963,75764.3033017499
"ws-WN2",136036.950442305,129616.043787815,124608.893552164,121604.603410773,114535.821316577,110942.427499765,105696.218522821,103284.541730148,96465.347397133,88630.6843238036,83225.2464096283,65262.2490097255,94874.8136745817,101704.537027484,76159.973988729,108107.895315495,107692.05927049,82812.9200379191,88630.6843238036,66260.1693835592,111531.531175187,76159.973988729,69091.1918945339,41942.0564400416,41942.0564400416,42354.3828117507,27332.9321047967,26743.8284293756,26331.5020576665,24917.7456388277,23916.3155916975,18673.6162880496,18261.2899163412,18261.2899163412,4823.35358534632,5405.43791417526,41529.7300683331,18438.0672200538,997.920373833738,42766.7091834592,42766.7091834592,17436.6371729236,135447.846766884,5239.1896303513,6237.11000418504,3991.68149533682,25330.0720105361,25330.0720105361,24328.6419634059,22914.8855445671,22325.7818691454,21913.4554974369,20499.6990785975,20087.372706889,18673.6162880496,1413.75641883946,62029.4291469305,0,47655.8538796819,68862.2001622677,96697.3867918332,103942.946189741,17848.963544632,2411.6767926732,12665.0360052681,75283.1068167585,103298.580423332,26685.0566650918,43355.8128588809,29453.7977384867,37936.3362515212,21265.580057732,46713.1955968348,108596.541817968,108596.541817968,109597.971865098,109597.971865098,111011.728283937,107182.785399128,110942.427499765,56374.4034715744,57846.9316546971,72043.2676073712,57787.6978795516,17436.6371729229,57198.5942041298,57198.5942041298,1995.84074766841,40056.7398743483,92459.6272086121,108596.541817968,109940.997452635,121604.603410773,106278.302851651,136036.950442305
"bpns-WENDUINEBANKW",182043.498835151,175622.592180661,170615.441945011,167611.15180362,160542.369709424,156948.975892612,151702.766915668,149291.090122995,142471.89578998,134637.23271665,129231.794802475,111268.797402572,140881.362067428,147711.085420331,122166.522381576,154114.443708341,153698.607663336,128819.468430766,134637.23271665,112266.717776406,157538.079568033,122166.522381576,115097.74028738,87948.6048328882,87948.6048328882,88360.9312045973,73339.4804976433,72750.3768222222,72338.0504505131,70924.2940316743,69922.8639845441,64680.1646808962,64267.8383091878,64267.8383091878,51308.0194607777,50718.9157853558,87536.2784611797,65269.2683563173,48068.1802513904,88773.2575763058,88773.2575763058,64267.8383091871,181454.39515973,52309.4495079079,52721.7758796164,49305.1593665171,71336.6204033828,71336.6204033828,70335.1903562525,68921.4339374137,68332.330261992,67920.0038902835,66506.2474714441,66093.9210997356,64680.1646808962,46242.0974608424,108035.977539777,47655.8538796819,0,21206.3462825859,142703.93518468,149949.494582588,63855.5119374786,45829.7710891339,34990.8178744137,27627.2529370766,149305.128816179,26611.7841967616,89362.3612517275,19958.8381475709,11476.2996345364,26390.2738219498,6237.11000418508,154603.090210814,154603.090210814,155604.520257944,155604.520257944,157018.276676783,153189.333791975,156948.975892612,15315.7715392337,11840.3832618505,24387.4137276893,44407.671971065,65092.4910526047,44989.756299894,44989.756299894,48480.5066230995,36258.0606965662,138466.175601459,154603.090210814,155947.545845481,167611.15180362,152284.851244498,182043.498835151
"bpns-Whitley",203249.845117737,196828.938463247,191821.788227597,188817.498086206,181748.71599201,178155.322175197,172909.113198254,170497.436405581,163678.242072566,155843.578999236,150438.141085061,132475.143685158,162087.708350014,168917.431702917,143372.868664162,175320.789990927,174904.953945922,150025.814713352,155843.578999236,133473.064058992,178744.425850619,143372.868664162,136304.086569966,109154.951115474,109154.951115474,109567.277487183,94545.8267802291,93956.7231048081,93544.3967330989,92130.6403142601,91129.2102671299,85886.5109634821,85474.1845917736,85474.1845917736,72514.3657433635,71925.2620679417,108742.624743766,86475.6146389032,69274.5265339762,109979.603858892,109979.603858892,85474.184591773,202660.741442316,73515.7957904937,73928.1221622022,70511.505649103,92542.9666859686,92542.9666859686,91541.5366388384,90127.7802199996,89538.6765445778,89126.3501728694,87712.5937540299,87300.2673823214,85886.5109634821,67448.4437434282,129242.323822363,68862.2001622677,21206.3462825859,0,163910.281467266,171155.840865174,85061.8582200645,67036.1173717198,56197.1641569996,6420.90665449077,170511.475098765,47818.1304793475,110568.707534313,41165.1844301568,32682.6459171223,47596.6201045357,22149.0045654329,175809.4364934,175809.4364934,176810.86654053,176810.86654053,178224.622959369,174395.680074561,178155.322175198,24199.6767332004,18627.9905352,4830.37293193872,60623.9857135918,86298.8373351905,62037.7421324303,62037.7421324303,69686.8529056853,57464.4069791499,159672.521884045,175809.4364934,177153.892128067,188817.498086206,173491.197527084,203249.845117737
"me-7-2",51235.2090033095,44814.3023488194,39807.1521131688,36802.861971778,29734.0798775823,26140.6860607697,20894.477083826,18482.8002911528,11663.6059581378,8066.70246802948,13472.1403822048,31435.1377821077,10073.0722355865,16902.7955884892,21123.0068052293,23306.1538764994,22890.3178314944,14470.0607560395,8066.70246802948,31022.8114103992,26729.7897361914,21123.0068052293,28191.7888994245,55579.9830952086,55579.9830952086,55992.3094669177,72663.0656607069,74076.8220795463,73664.4957078371,74253.599383259,75255.0294303892,78023.7705037835,78436.096875492,78436.096875492,96343.8321844078,97757.5886032466,55167.6567235001,78259.3195717794,97109.7131635416,56404.6358386263,56404.6358386263,79260.7496189096,50646.1053278884,95342.4021372776,95754.7285089861,98346.6922786684,74665.9257549674,74665.9257549674,75667.3558020976,76256.4594775195,77670.2158963582,77257.8895246497,77846.9932000709,77434.6668283624,78023.7705037835,97286.4904672543,36424.7396512783,96697.3867918332,142703.93518468,163910.281467266,0,7245.55939790828,78848.4232472011,96874.1640955458,107713.117310266,170331.188121757,18496.8389843371,123382.443456925,54990.8794197875,125326.531786902,132984.417556519,116313.66136273,141761.276901833,11899.1550261344,11899.1550261344,12900.5850732646,12900.5850732646,14314.3414921034,10485.398607295,26140.6860607697,151422.484776572,152895.012959695,167091.348912369,154485.084671385,80085.4023623272,153895.980995963,153895.980995963,97522.0395352507,136754.126666181,7657.88576961687,11899.1550261344,25139.2560136394,36802.861971778,21476.5614126559,51235.2090033095
"M-6",58480.7684012178,52059.8617467277,47052.711511077,44048.4213696863,36979.6392754906,33386.245458678,28140.0364817342,25728.3596890611,18909.1653560461,15312.2618659378,20717.6997801131,38680.6971800159,17318.6316334948,24148.3549863975,28368.5662031376,30551.7132744077,30135.8772294027,21715.6201539478,15312.2618659378,38268.3708083074,33975.3491340997,28368.5662031376,35437.3482973328,62825.5424931169,62825.5424931169,63237.868864826,79908.6250586152,81322.3814774546,80910.0551057454,81499.1587811673,82500.5888282975,85269.3299016918,85681.6562734003,85681.6562734003,103589.391582316,105003.148001155,62413.2161214084,85504.8789696877,104355.27256145,63650.1952365345,63650.1952365345,86506.3090168179,57891.6647257966,102587.961535186,103000.287906894,105592.251676577,81911.4851528757,81911.4851528757,82912.9152000059,83502.0188754278,84915.7752942665,84503.448922558,85092.5525979792,84680.2262262707,85269.3299016918,104532.049865163,43670.2990491866,103942.946189741,149949.494582588,171155.840865174,7245.55939790828,0,86093.9826451094,104119.723493454,114958.676708174,177576.747519665,25742.3983822454,130628.002854833,62236.4388176958,132572.09118481,140229.976954427,123559.220760638,149006.836299741,5239.18963035138,5239.18963035138,6240.6196774816,6240.6196774816,7654.37609632032,3825.43321151192,33386.245458678,158668.044174481,160140.572357603,174336.908310277,161730.644069293,87330.9617602355,161141.540393871,161141.540393871,104767.598933159,143999.68606409,14903.4451675252,5239.18963035138,32384.8154115477,44048.4213696863,28722.1208105642,58480.7684012178
"ws-13",118187.986897673,111767.080243183,106759.930007532,103755.639866141,96686.8577719455,93093.4639551329,87847.2549781891,85435.578185516,78616.383852501,70781.7207791716,65376.2828649963,47413.2854650935,77025.8501299497,83855.5734828524,58311.010444097,90258.9317708626,89843.0957258576,64963.9564932871,70781.7207791716,48411.2058389272,93682.5676305546,58311.010444097,51242.2283499019,24093.0928954095,24093.0928954095,24505.4192671187,9483.96856016476,9480.45888686894,8482.53851303455,7068.78209419575,6652.94604919076,1995.84074766841,997.92037383467,997.92037383467,17495.4089372067,18909.1653560455,23680.766523701,1413.75641883872,18261.2899163405,24917.7456388271,24917.7456388271,997.920373833738,117598.883222251,16493.9788900765,16906.305261785,19498.2690314672,8066.70246802948,8066.70246802948,7650.8664230245,6237.1100041857,6819.19433301473,5821.27395918099,4407.51754034153,3409.59716650779,1995.84074766841,18438.0672200532,44180.4656022985,17848.963544632,63855.5119374786,85061.8582200645,78848.4232472011,86093.9826451094,0,18025.7408483448,28864.6940630649,91482.7648745553,85449.6168787002,44534.0202097238,25506.8493142489,46478.1085397005,54135.9943093179,37465.2381155288,62912.8536546316,90747.5782733356,90747.5782733356,91749.0083204658,91749.0083204658,93162.7647393045,89333.8218544961,93093.4639551329,72574.0615293712,74046.5897124938,88242.9256651679,75636.6614241836,2993.76112150215,75047.5577487618,75047.5577487618,18673.6162880496,57905.7034189802,74610.66366398,90747.5782733356,92092.0339080026,103755.639866141,88429.3393070191,118187.986897673
"ws-W7",136213.727746017,129792.821091527,124785.670855877,121781.380714486,114712.59862029,111119.204803478,105872.995826534,103461.319033861,96642.1247008457,88807.4616275164,83402.023713341,65439.0263134382,95051.5909782944,101881.314331197,76336.7512924418,108284.672619207,107868.836574202,82989.6973416319,88807.4616275164,66436.9466872719,111708.308478899,76336.7512924418,69267.9691982466,42118.8337437543,42118.8337437543,42531.1601154634,27509.7094085094,26920.6057330883,26508.2793613792,25094.5229425404,24093.0928954102,18850.3935917624,18438.0672200539,18438.0672200539,7235.03037801952,7817.11470684846,41706.5073720458,19439.4972671834,3409.59716650694,42943.4864871719,42943.4864871719,18438.0672200532,135624.624070596,7650.8664230245,8648.78679685824,6403.35828801002,25506.8493142489,25506.8493142489,24505.4192671187,23091.6628482799,22502.5591728581,22090.2328011496,20676.4763823102,20264.1500106017,18850.3935917624,997.920373833738,62206.2064506433,2411.6767926732,45829.7710891339,67036.1173717198,96874.1640955458,104119.723493454,18025.7408483448,0,10838.9532147202,73457.0240262105,103475.357727045,26508.2793613791,43532.5901625936,28452.3676913558,36110.2534609732,19439.4972671841,44887.1128062869,108773.31912168,108773.31912168,109774.749168811,109774.749168811,111188.505587649,107359.562702841,111119.204803478,54548.3206810265,56020.8488641491,70217.1848168232,57610.920575839,19262.7199634708,57021.8169004172,57021.8169004172,4407.51754034161,39879.9625706356,92636.4045123248,108773.31912168,110117.774756347,121781.380714486,106455.080155364,136213.727746017
