"","ak-41","ak-42","ak-44","ak-45","ak-47","ak-x","bh-37","bpns-A1BIS","bpns-G-88","bpns-Nautica Ena","bpns-nieuwpoortbank","bpns-NIEUWPOORTKUST8","bpns-O6","bpns-Trapegeer","bpns-W1","bpns-WENDUINEBANKW","bpns-Whitley","bpns-WK14","bpns-WZ","bpns-zbe1","bpns-zbe2","bpns-zbe3","bpns-zbw1","bpns-zbw2","bpns-zbw3","bpns-ZW1","M-6","me-7-2","me-7-2b","Rt1","Rt2","Rt3","Rt4","Rt5","Rt6","Rt7","Rt8","s-10a","s-11","s-12","s-3","s-4","s-4a","s-4b","s-4c","s-5","s-6","s-6","s-7","s-8","s-8a","s-9","s-9a","s-Dendermonde","s-Dendermonde","s-Vlassenbroek","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-4","ws-42A","ws-53","ws-53A","ws-55","ws-6","ws-A1","ws-A3","ws-A5","ws-borssele","ws-DL12","ws-DL7","ws-DL9","ws-F42","ws-F42","ws-GVWSP","ws-HW6","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PPC","ws-PVTSS","ws-SP3","ws-STD3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2"
"me-7-2",22884.0850463617,23357.9584299494,30032.8936870375,30882.6172503345,39865.9082437601,64718.3933739156,80475.3576211542,136666.016496508,129448.310585293,146238.575032831,165059.820999274,165059.820999274,145353.547187049,174254.140108741,111837.132979696,146127.454439506,167680.303432433,115780.996549071,121221.603970289,120253.927552502,119519.727713918,118881.540098611,121447.462441142,122125.165700351,122778.397762384,122268.753865745,7170.72404631024,0,3362.17253344289,45364.439716272,45304.1980060462,45159.2433884196,45049.3760577264,44964.6631503256,44879.9502429249,44770.0829122317,44346.5183752263,22442.0212343037,34394.5269842189,34652.4108372731,41041.5866669618,37057.6374171685,26770.5899785661,23713.1418442652,21294.893551657,18747.6341249335,13920.149044635,13859.9073344093,12048.910896786,9856.61194268984,9611.72285801321,15081.8537585623,15257.9347216022,34682.2211816117,35406.9942697457,28208.1536128428,83152.7160851126,78860.510212359,82896.7047974838,78056.6419130993,81942.3281076465,81548.8524640921,77277.244811015,76185.3398419272,79602.2003126433,78845.4018423093,78363.4681605035,77222.6207970649,82614.2858239311,81889.576659121,59106.9748012371,59259.4836038884,58834.046501458,58357.7944392512,81560.151779967,81494.2284501414,81029.2117804861,80564.1951108303,84438.7831431233,99877.1211261489,102049.567825127,100816.517292586,59411.9284832162,59231.203352539,101249.572503366,60091.50430785,99831.7467497253,99056.3358147391,81326.61127744,80302.5022036023,81326.61127744,82591.751115505,101667.455420771,38147.9618421095,99984.6244352722,100809.090954209,101048.249153011,100620.939485156,100910.784797085
"me-7-2b",19521.9125129189,19995.7858965065,26670.7211535946,27520.4447168916,36503.7357103172,68080.5659073585,77113.1850877112,133303.843963065,126086.13805185,142876.402499388,161697.648465832,161697.648465832,141991.374653606,170891.967575298,108474.960446253,142765.281906063,164318.13089899,112418.824015628,117859.431436846,116891.755019059,116157.555180475,115519.367565168,118085.289907699,118762.993166908,119416.225228941,118906.581332302,10532.896579753,3362.17253344289,0,42002.2671828291,41942.0254726033,41797.0708549768,41687.2035242836,41602.4906168828,41517.777709482,41407.9103787888,40984.3458417835,19079.8487008608,31032.3544507761,31290.2383038303,37679.4141335189,33695.4648837257,23408.4174451232,20350.9693108223,17932.7210182141,15385.4615914906,10557.9765111921,10497.7348009664,8686.73836334307,6494.43940924695,6249.55032457032,11719.6812251194,11895.7621881593,31320.0486481688,32044.8217363029,24845.9810793999,79790.5435516696,75498.337678916,79534.5322640408,74694.4693796563,78580.1555742035,78186.6799306491,73915.072277572,72823.1673084842,76240.0277792003,75483.2293088664,75001.2956270605,73860.448263622,79252.1132904882,78527.404125678,55744.8022677942,55897.3110704456,55471.8739680152,54995.6219058084,78197.979246524,78132.0559166984,77667.0392470432,77202.0225773873,81076.6106096803,96514.948592706,98687.3952916837,97454.3447591427,56049.7559497733,55869.0308190962,97887.3999699225,56729.3317744071,96469.5742162823,95694.1632812961,77964.4387439971,76940.3296701593,77964.4387439971,79229.578582062,98305.282887328,34785.7893086667,96622.4519018292,97446.9184207664,97686.0766195685,97258.7669517132,97548.6122636421
"Rt1",54234.0707006357,54707.9440842234,61382.8793413114,62232.6029046084,71215.893898034,110082.833090188,111825.343275429,168016.002150782,160798.296239567,177588.560687105,196409.806653548,196409.806653548,176703.532841322,205604.125763015,143187.118633971,177477.44009378,199030.289086707,147130.982203346,152571.589624563,151603.913206776,150869.713368192,150231.525752885,152797.448095416,153475.151354625,154128.383416658,153618.739520019,52535.163762582,45364.439716272,42002.2671828291,0,60.2417102258187,205.196327852387,350.150945479609,434.863852880359,519.576760281141,664.531377908364,1088.09591491375,53792.0068885776,65744.5126384928,66002.396491547,4322.85304931026,8306.80229910349,18593.849737706,21942.5735594932,24220.4727043636,26767.7321310878,31640.0602490402,31700.3019592659,33462.3560025378,41206.597596964,40961.7085122874,46431.8394128364,46607.9203758763,10682.2185346604,9957.44544652631,17156.2861034293,114502.701739387,110210.495866634,114246.690451758,109406.627567374,113292.313761921,112898.838118367,108627.23046529,107535.325496202,110952.185966918,110195.387496584,109713.453814778,108572.60645134,113964.271478206,113239.562313396,90456.9604555115,90609.4692581628,90184.0321557324,89707.7800935257,112910.137434242,112844.214104416,112379.197434761,111914.180765105,115788.768797398,131227.106780424,133399.553479401,132166.50294686,90761.9141374906,90581.1890068134,132599.55815764,91441.4899621244,131181.732404,130406.321469014,112676.596931715,111652.487857877,112676.596931715,113941.73676978,133017.441075045,69497.9474963835,131334.610089547,132159.076608484,132398.234807286,131970.925139431,132260.77045136
"Rt2",54173.82899041,54647.7023739976,61322.6376310856,62172.3611943826,71155.6521878082,110022.591379963,111765.101565203,167955.760440556,160738.054529341,177528.318976879,196349.564943322,196349.564943322,176643.291131096,205543.884052789,143126.876923745,177417.198383554,198970.047376481,147070.74049312,152511.347914337,151543.67149655,150809.471657966,150171.284042659,152737.20638519,153414.9096444,154068.141706432,153558.497809794,52474.9220523562,45304.1980060462,41942.0254726033,60.2417102258187,0,144.954617626568,289.909235253791,374.622142654573,459.335050055356,604.289667682579,1027.85420468797,53731.7651783519,65684.270928267,65942.1547813212,4262.61133908447,8246.5605888777,18533.6080274802,21882.3318492674,24160.2309941378,26707.490420862,31579.8185388144,31640.0602490401,33402.114292312,41146.3558867382,40901.4668020616,46371.5977026106,46547.6786656505,10621.9768244346,9897.20373630052,17096.0443932035,114442.460029161,110150.254156408,114186.448741533,109346.385857148,113232.072051695,112838.596408141,108566.988755064,107475.083785976,110891.944256692,110135.145786358,109653.212104552,108512.364741114,113904.02976798,113179.32060317,90396.7187452857,90549.2275479371,90123.7904455066,89647.5383832999,112849.895724016,112783.97239419,112318.955724535,111853.939054879,115728.527087172,131166.865070198,133339.311769175,132106.261236635,90701.6724272648,90520.9472965876,132539.316447414,91381.2482518986,131121.490693774,130346.079758788,112616.355221489,111592.246147651,112616.355221489,113881.495059554,132957.19936482,69437.7057861577,131274.368379321,132098.834898258,132337.99309706,131910.683429205,132200.528741134
"Rt3",54028.8743727834,54502.7477563711,61177.683013459,62027.406576756,71010.6975701816,109877.636762336,111620.146947577,167810.805822929,160593.099911715,177383.364359253,196204.610325696,196204.610325696,176498.33651347,205398.929435162,142981.922306118,177272.243765927,198825.092758854,146925.785875493,152366.393296711,151398.716878924,150664.51704034,150026.329425032,152592.251767564,153269.955026773,153923.187088806,153413.543192167,52329.9674347296,45159.2433884196,41797.0708549768,205.196327852387,144.954617626568,0,144.954617627223,229.667525028006,314.380432428788,459.335050056011,882.8995870614,53586.8105607253,65539.3163106405,65797.2001636947,4117.6567214579,8101.60597125114,18388.6534098537,21737.3772316408,24015.2763765112,26562.5358032354,31434.8639211878,31495.1056314135,33257.1596746854,41001.4012691116,40756.512184435,46226.643084984,46402.724048024,10477.022206808,9752.24911867395,16951.089775577,114297.505411535,110005.299538781,114041.494123906,109201.431239522,113087.117434069,112693.641790514,108422.034137437,107330.129168349,110746.989639066,109990.191168732,109508.257486926,108367.410123487,113759.075150353,113034.365985543,90251.7641276591,90404.2729303105,89978.8358278801,89502.5837656733,112704.941106389,112639.017776564,112174.001106908,111708.984437253,115583.572469546,131021.910452571,133194.357151549,131961.306619008,90556.7178096382,90375.992678961,132394.361829788,91236.293634272,130976.536076148,130201.125141161,112471.400603862,111447.291530025,112471.400603862,113736.540441927,132812.244747193,69292.7511685311,131129.413761695,131953.880280632,132193.038479434,131765.728811578,132055.574123507
"Rt4",53919.0070420902,54392.8804256779,61067.8156827659,61917.5392460628,70900.8302394885,109767.769431643,111510.279616883,167700.938492236,160483.232581021,177273.497028559,196094.742995003,196094.742995003,176388.469182777,205289.062104469,142872.054975425,177162.376435234,198715.225428161,146815.9185448,152256.525966018,151288.849548231,150554.649709647,149916.462094339,152482.384436871,153160.08769608,153813.319758113,153303.675861474,52220.1001040365,45049.3760577264,41687.2035242836,350.150945479609,289.909235253791,144.954617627223,0,84.7129074007829,169.425814801566,314.380432428788,737.944969434178,53476.9432300321,65429.4489799473,65687.3328330015,4007.78939076472,7991.73864055795,18278.7860791605,21627.5099009476,23905.4090458181,26452.6684725422,31324.9965904947,31385.2383007203,33147.2923439923,40891.5339384185,40646.6448537418,46116.7757542908,46292.8567173308,10367.1548761148,9642.38178798077,16841.2224448838,114187.638080842,109895.432208088,113931.626793213,109091.563908828,112977.250103376,112583.774459821,108312.166806744,107220.261837656,110637.122308372,109880.323838038,109398.390156233,108257.542792794,113649.20781966,112924.49865485,90141.8967969659,90294.4055996173,89868.9684971869,89392.7164349801,112595.073775696,112529.150445871,112064.133776215,111599.117106559,115473.705138852,130912.043121878,133084.489820856,131851.439288315,90446.8504789451,90266.1253482679,132284.494499095,91126.4263035789,130866.668745454,130091.257810468,112361.533273169,111337.424199331,112361.533273169,113626.673111234,132702.3774165,69182.8838378379,131019.546431001,131844.012949938,132083.171148741,131655.861480885,131945.706792814
"Rt5",53834.2941346894,54308.1675182771,60983.1027753651,61832.8263386621,70816.1173320877,109683.056524242,111425.566709483,167616.225584835,160398.519673621,177188.784121159,196010.030087602,196010.030087602,176303.756275376,205204.349197068,142787.342068024,177077.663527833,198630.51252076,146731.205637399,152171.813058617,151204.13664083,150469.936802246,149831.749186938,152397.67152947,153075.374788679,153728.606850712,153218.962954073,52135.3871966357,44964.6631503256,41602.4906168828,434.863852880359,374.622142654573,229.667525028006,84.7129074007829,0,84.7129074007829,229.667525028006,653.232062033395,53392.2303226313,65344.7360725465,65602.6199256007,3923.07648336394,7907.02573315717,18194.0731717597,21542.7969935468,23820.6961384173,26367.9555651415,31240.2836830939,31300.5253933196,33062.5794365915,40806.8210310177,40561.9319463411,46032.06284689,46208.14380993,10282.4419687141,9557.66888057999,16756.509537483,114102.925173441,109810.719300687,113846.913885812,109006.851001428,112892.537195975,112499.06155242,108227.453899343,107135.548930256,110552.409400972,109795.610930638,109313.677248832,108172.829885393,113564.494912259,112839.785747449,90057.1838895651,90209.6926922165,89784.2555897861,89308.0035275793,112510.360868295,112444.43753847,111979.420868814,111514.404199159,115388.992231452,130827.330214477,132999.776913455,131766.726380914,90362.1375715443,90181.4124408671,132199.781591694,91041.7133961781,130781.955838054,130006.544903067,112276.820365768,111252.711291931,112276.820365768,113541.960203833,132617.664509099,69098.1709304371,130934.833523601,131759.300042538,131998.45824134,131571.148573484,131860.993885413
"Rt6",53749.5812272887,54223.4546108763,60898.3898679643,61748.1134312613,70731.4044246869,109598.343616841,111340.853802082,167531.512677435,160313.80676622,177104.071213758,195925.317180201,195925.317180201,176219.043367975,205119.636289668,142702.629160624,176992.950620432,198545.79961336,146646.492729998,152087.100151216,151119.423733429,150385.223894845,149747.036279538,152312.958622069,152990.661881278,153643.893943311,153134.250046672,52050.6742892349,44879.9502429249,41517.777709482,519.576760281141,459.335050055356,314.380432428788,169.425814801566,84.7129074007829,0,144.954617627223,568.519154632612,53307.5174152305,65260.0231651457,65517.9070181999,3838.36357596315,7822.31282575639,18109.3602643589,21458.0840861461,23735.9832310165,26283.2426577407,31155.5707756931,31215.8124859188,32977.8665291907,40722.1081236169,40477.2190389403,45947.3499394893,46123.4309025292,10197.7290613133,9472.9559731792,16671.7966300822,114018.21226604,109726.006393287,113762.200978411,108922.138094027,112807.824288574,112414.34864502,108142.740991942,107050.836022855,110467.696493571,109710.898023237,109228.964341431,108088.116977992,113479.782004859,112755.072840048,89972.4709821644,90124.9797848157,89699.5426823853,89223.2906201786,112425.647960895,112359.724631069,111894.707961414,111429.691291758,115304.279324051,130742.617307076,132915.064006054,131682.013473513,90277.4246641435,90096.6995334663,132115.068684293,90957.0004887773,130697.242930653,129921.831995667,112192.107458368,111167.99838453,112192.107458368,113457.247296432,132532.951601698,69013.4580230363,130850.1206162,131674.587135137,131913.745333939,131486.435666084,131776.280978013
"Rt7",53639.7138965955,54113.5872801832,60788.5225372711,61638.2461005681,70621.5370939937,109488.476286148,111230.986471389,167421.645346741,160203.939435527,176994.203883065,195815.449849508,195815.449849508,176109.176037282,205009.768958974,142592.76182993,176883.083289739,198435.932282666,146536.625399305,151977.232820523,151009.556402736,150275.356564152,149637.168948844,152203.091291376,152880.794550585,153534.026612618,153024.382715979,51940.8069585417,44770.0829122317,41407.9103787888,664.531377908364,604.289667682579,459.335050056011,314.380432428788,229.667525028006,144.954617627223,0,458.651823939427,53197.6500845374,65150.1558344525,65408.0396875067,3728.49624526997,7712.4454950632,17999.4929336657,21348.2167554529,23626.1159003233,26173.3753270475,31045.7034449999,31105.9451552256,32867.9991984975,40612.2407929237,40367.3517082471,45837.4826087961,46013.563571836,10087.8617306201,9363.08864248602,16561.929299389,113908.344935347,109616.139062593,113652.333647718,108812.270763334,112697.956957881,112304.481314326,108032.873661249,106940.968692162,110357.829162878,109601.030692544,109119.097010738,107978.249647299,113369.914674165,112645.205509355,89862.6036514712,90015.1124541225,89589.6753516921,89113.4232894854,112315.780630201,112249.857300376,111784.84063072,111319.823961065,115194.411993358,130632.749976383,132805.196675361,131572.14614282,90167.5573334503,89986.8322027731,132005.2013536,90847.1331580841,130587.37559996,129811.964664973,112082.240127674,111058.131053837,112082.240127674,113347.379965739,132423.084271005,68903.5906923431,130740.253285507,131564.719804444,131803.878003246,131376.56833539,131666.413647319
"Rt8",53216.1493595901,53690.0227431778,60364.9580002657,61214.6815635627,70197.9725569883,109064.911749143,110807.421934383,166998.080809736,159780.374898521,176570.639346059,195391.885312503,195391.885312503,175685.611500277,204586.204421969,142169.197292925,176459.518752734,198012.367745661,146113.0608623,151553.668283517,150585.991865731,149851.792027147,149213.604411839,151779.526754371,152457.23001358,153110.462075613,152600.818178974,51517.2424215363,44346.5183752263,40984.3458417835,1088.09591491375,1027.85420468797,882.8995870614,737.944969434178,653.232062033395,568.519154632612,458.651823939427,0,52774.085547532,64726.5912974472,64984.4751505013,3304.93170826458,7288.88095805781,17575.9283966603,20924.6522184475,23202.5513633179,25749.8107900421,30622.1389079945,30682.3806182202,32444.4346614921,40188.6762559183,39943.7871712417,45413.9180717907,45589.9990348307,9664.2971936147,8939.52410548063,16138.3647623836,113484.780398342,109192.574525588,113228.769110713,108388.706226328,112274.392420875,111880.916777321,107609.309124244,106517.404155156,109934.264625872,109177.466155538,108695.532473732,107554.685110294,112946.35013716,112221.64097235,89439.0391144658,89591.5479171171,89166.1108146867,88689.85875248,111892.216093196,111826.29276337,111361.276093715,110896.259424059,114770.847456352,130209.185439378,132381.632138356,131148.581605815,89743.9927964449,89563.2676657677,131581.636816594,90423.5686210787,130163.811062954,129388.400127968,111658.675590669,110634.566516831,111658.675590669,112923.815428734,131999.519734,68480.0261553377,130316.688748501,131141.155267438,131380.31346624,130953.003798385,131242.849110314
"s-10a",442.063812058095,915.937195646342,7590.87245273439,8440.59601603136,17423.887009457,57299.2239784142,58033.3363868508,114223.995262204,107006.289350989,123796.553798528,142617.799764972,142617.799764972,122911.525952746,151812.118874439,89395.1117453929,123685.433205203,145238.282198131,93338.9753147681,98779.5827359856,97811.9063181989,97077.7064796149,96439.5188643074,99005.441206839,99683.1444660481,100336.376528081,99826.7326314421,29612.7452806138,22442.0212343037,19079.8487008608,53792.0068885776,53731.7651783519,53586.8105607253,53476.9432300321,53392.2303226313,53307.5174152305,53197.6500845374,52774.085547532,0,11952.5057499159,12210.38960297,49469.1538392675,45485.2045894743,35198.1571508719,32140.709016571,29722.4607239628,27175.2012972393,22347.7162169408,22287.4745067151,20476.4780690917,12686.0269847798,12830.2983762904,7570.69119734781,7184.08651270168,43109.7883539174,43834.5614420515,36635.7207851485,60710.6948508094,56418.4889780559,60454.6835631806,55614.6206787962,59500.3068733433,59106.8312297889,54835.2235767118,53743.3186076241,57160.1790783401,56403.3806080062,55921.4469262003,54780.5995627618,60172.2645896279,59447.5554248178,36664.9535669342,36817.4623695856,36392.0252671551,35915.7732049484,59118.1305456638,59052.2072158382,58587.190546183,58122.1738765272,61996.76190882,77435.0998918456,79607.5465908233,78374.4960582823,36969.9072489133,36789.1821182361,78807.5512690621,37649.4830735471,77389.7255154219,76614.3145804357,58884.5900431368,57860.4809692991,58884.5900431368,60149.7298812018,79225.4341864676,15705.9406078065,77542.6032009688,78367.069719906,78606.2279187081,78178.9182508528,78468.7635627817
"s-11",11580.6165117264,11157.0519747211,4411.94214376479,3757.52074242275,6032.77785048769,67561.5709370056,46642.2272278803,102832.886103234,95615.1801920185,112405.444639558,131226.690606003,131226.690606003,111520.416793776,140421.009715469,78004.0025864223,112294.324046232,133847.173039161,81947.8661557974,87388.473577015,86420.7971592283,85686.5973206443,85048.4097053367,87614.3320478683,88292.0353070775,88945.2673691103,88435.6234724714,41565.251030529,34394.5269842189,31032.3544507761,65744.5126384928,65684.270928267,65539.3163106405,65429.4489799473,65344.7360725465,65260.0231651457,65150.1558344525,64726.5912974472,11952.5057499159,0,799.4147167156,61421.6595891826,57437.7103393894,47150.662900787,44093.2147664862,41674.9664738779,39127.7070471545,34300.221966856,34239.9802566303,32428.9838190071,24638.5327346951,24782.8041262057,19523.1969472631,19136.592262617,55062.2941038325,55787.0671919666,48588.2265350637,49319.5856918388,45027.3798190853,49063.57440421,44223.5115198257,48109.1977143727,47715.7220708184,43444.1144177413,42352.2094486536,45769.0699193696,45012.2714490357,44530.3377672298,43389.4904037913,48781.1554306574,48056.4462658473,25273.8444079635,25426.3532106149,25000.9161081845,24524.6640459777,47727.0213866933,47661.0980568677,47196.0813872124,46731.0647175566,50605.6527498495,66043.9907328747,68216.4374318524,66983.3868993114,25578.7980899427,25398.0729592655,67416.4421100912,26258.3739145764,65998.616356451,65223.2054214649,47493.4808841663,46469.3718103286,47493.4808841663,48758.6207222312,67834.3250274967,4314.83144883715,66151.494041998,66975.9605609351,67215.1187597372,66787.8090918818,67077.6544038108
"s-12",11838.5003647806,11414.9358277753,4669.82599681898,4015.40459547694,5283.67198035503,67819.4547900598,45893.121357749,102083.780233102,94866.0743218872,111656.338769426,130477.584735871,130477.584735871,110771.310923644,139671.903845337,77254.896716291,111545.218176101,133098.06716903,81198.7602856661,86639.3677068837,85671.691289097,84937.491450513,84299.3038352054,86865.226177737,87542.9294369462,88196.161498979,87686.5176023402,41823.1348835832,34652.4108372731,31290.2383038303,66002.396491547,65942.1547813212,65797.2001636947,65687.3328330015,65602.6199256007,65517.9070181999,65408.0396875067,64984.4751505013,12210.38960297,799.4147167156,0,61679.5434422368,57695.5941924436,47408.5467538412,44351.0986195404,41932.8503269321,39385.5909002087,34558.1058199102,34497.8641096845,32686.8676720612,24896.4165877493,25040.6879792599,19781.0808003173,19394.4761156712,55320.1779568867,56044.9510450208,48846.1103881178,48570.4798217076,44278.2739489541,48314.4685340788,43474.4056496944,47360.0918442415,46966.6162006871,42695.00854761,41603.1035785223,45019.9640492383,44263.1655789044,43781.2318970985,42640.38453366,48032.0495605261,47307.340395716,24524.7385378323,24677.2473404836,24251.8102380532,23775.5581758464,46977.915516562,46911.9921867364,46446.9755170812,45981.9588474254,49856.5468797182,65294.8848627434,67467.3315617211,66234.2810291801,24829.6922198114,24648.9670891342,66667.33623996,25509.2680444452,65249.5104863197,64474.0995513336,46744.3750140351,45720.2659401973,46744.3750140351,48009.5148521,67085.2191573654,3565.72557870449,65402.3881718667,66226.8546908039,66466.0128896059,66038.7032217506,66328.5485336796
"s-3",49911.2176513255,50385.0910349132,57060.0262920012,57909.7498552982,66893.0408487237,105759.980040878,107502.490226119,163693.149101472,156475.443190257,173265.707637795,192086.953604238,192086.953604238,172380.679792012,201281.272713705,138864.26558466,173154.587044469,194707.436037397,142808.129154035,148248.736575253,147281.060157466,146546.860318882,145908.672703575,148474.595046106,149152.298305315,149805.530367348,149295.886470709,48212.3107132718,41041.5866669618,37679.4141335189,4322.85304931026,4262.61133908447,4117.6567214579,4007.78939076472,3923.07648336394,3838.36357596315,3728.49624526997,3304.93170826458,49469.1538392675,61421.6595891826,61679.5434422368,0,3983.94924979324,14270.9966883958,17619.7205101829,19897.6196550533,22444.8790817775,27317.2071997299,27377.4489099556,29139.5029532275,36883.7445476538,36638.8554629771,42108.9863635261,42285.0673265661,6359.36548535012,5634.59239721605,12833.4330541191,110179.848690077,105887.642817323,109923.837402448,105083.774518064,108969.460712611,108575.985069056,104304.377415979,103212.472446892,106629.332917608,105872.534447274,105390.600765468,104249.753402029,109641.418428895,108916.709264085,86134.1074062012,86286.6162088525,85861.1791064221,85384.9270442154,108587.284384931,108521.361055106,108056.34438545,107591.327715795,111465.915748088,126904.253731113,129076.700430091,127843.64989755,86439.0610881803,86258.3359575031,128276.70510833,87118.6369128141,126858.87935469,126083.468419703,108353.743882404,107329.634808567,108353.743882404,109618.883720469,128694.588025735,65175.0944470731,127011.757040237,127836.223559174,128075.381757976,127648.07209012,127937.917402049
"s-4",45927.2684015324,46401.1417851201,53076.077042208,53925.800605505,62909.0915989305,101776.030791085,103518.540976325,159709.199851679,152491.493940464,169281.758388002,188103.004354445,188103.004354445,168396.730542219,197297.323463911,134880.316334867,169170.637794676,190723.486787603,138824.179904242,144264.78732546,143297.110907673,142562.911069089,141924.723453781,144490.645796313,145168.349055522,145821.581117555,145311.937220916,44228.3614634786,37057.6374171685,33695.4648837257,8306.80229910349,8246.5605888777,8101.60597125114,7991.73864055795,7907.02573315717,7822.31282575639,7712.4454950632,7288.88095805781,45485.2045894743,57437.7103393894,57695.5941924436,3983.94924979324,0,10287.0474386025,13635.7712603897,15913.6704052601,18460.9298319843,23333.2579499367,23393.4996601624,25155.5537034343,32899.7952978606,32654.9062131839,38125.0371137329,38301.1180767729,2375.41623555688,1650.64314742282,8849.48380432582,106195.899440284,101903.69356753,105939.888152655,101099.82526827,104985.511462818,104592.035819263,100320.428166186,99228.5231970983,102645.383667814,101888.58519748,101406.651515675,100265.804152236,105657.469179102,104932.760014292,82150.1581564079,82302.6669590593,81877.2298566288,81400.9777944221,104603.335135138,104537.411805312,104072.395135657,103607.378466001,107481.966498294,122920.30448132,125092.751180298,123859.700647757,82455.111838387,82274.3867077098,124292.755858537,83134.6876630208,122874.930104896,122099.51916991,104369.794632611,103345.685558773,104369.794632611,105634.934470676,124710.638775942,61191.14519728,123027.807790443,123852.27430938,124091.432508182,123664.122840327,123953.968152256
"s-4a",35640.2209629299,36114.0943465176,42789.0296036056,43638.7531669026,52622.0441603281,91488.9833524822,93231.4935377225,149422.152413076,142204.446501861,158994.710949399,177815.956915842,177815.956915842,158109.683103616,187010.276025309,124593.268896264,158883.590356074,180436.439349001,128537.13246564,133977.739886857,133010.06346907,132275.863630486,131637.676015179,134203.59835771,134881.30161692,135534.533678952,135024.889782314,33941.3140248762,26770.5899785661,23408.4174451232,18593.849737706,18533.6080274802,18388.6534098537,18278.7860791605,18194.0731717597,18109.3602643589,17999.4929336657,17575.9283966603,35198.1571508719,47150.662900787,47408.5467538412,14270.9966883958,10287.0474386025,0,3348.72382178715,5626.62296665757,8173.88239338174,13046.2105113342,13106.4522215599,14868.5062648318,22612.747859258,22367.8587745814,27837.9896751305,28014.0706381704,7911.63120304563,8636.4042911797,1437.5636342767,95908.852001681,91616.6461289274,95652.8407140521,90812.7778296677,94698.4640242148,94304.9883806604,90033.3807275833,88941.4757584956,92358.3362292117,91601.5377588777,91119.6040770718,89978.7567136333,95370.4217404995,94645.7125756893,71863.1107178052,72015.6195204566,71590.1824180261,71113.9303558194,94316.2876965354,94250.3643667098,93785.3476970545,93320.3310273987,97194.9190596917,112633.257042717,114805.703741695,113572.653209154,72168.0643997843,71987.3392691071,114005.708419934,72847.6402244181,112587.882666294,111812.471731307,94082.7471940084,93058.6381201706,94082.7471940084,95347.8870320733,114423.591337339,50904.0977586776,112740.760351841,113565.226870778,113804.38506958,113377.075401724,113666.920713653
"s-4b",32582.7728286291,33056.6462122168,39731.5814693048,40581.3050326017,49564.5960260273,88431.5352181813,90174.0454034216,146364.704278775,139146.99836756,155937.262815098,174758.508781542,174758.508781542,155052.234969316,183952.827891008,121535.820761964,155826.142221773,177378.9912147,125479.684331339,130920.291752556,129952.61533477,129218.415496186,128580.227880878,131146.15022341,131823.853482619,132477.085544652,131967.441648013,30883.8658905754,23713.1418442652,20350.9693108223,21942.5735594932,21882.3318492674,21737.3772316408,21627.5099009476,21542.7969935468,21458.0840861461,21348.2167554529,20924.6522184475,32140.709016571,44093.2147664862,44351.0986195404,17619.7205101829,13635.7712603897,3348.72382178715,0,2569.17483235673,5116.43425908091,9988.76237703331,10049.004087259,11811.0581305309,19555.2997249572,19310.4106402806,24780.5415408296,24956.6225038696,11260.3550248328,11985.1281129668,4786.28745606384,92851.4038673801,88559.1979946265,92595.3925797513,87755.3296953668,91641.015889914,91247.5402463596,86975.9325932825,85884.0276241947,89300.8880949108,88544.0896245768,88062.155942771,86921.3085793324,92312.9736061986,91588.2644413885,68805.6625835043,68958.1713861557,68532.7342837253,68056.4822215185,91258.8395622345,91192.9162324089,90727.8995627536,90262.8828930978,94137.4709253908,109575.808908416,111748.255607394,110515.205074853,69110.6162654835,68929.8911348063,110948.260285633,69790.1920901173,109530.434531993,108755.023597007,91025.2990597075,90001.1899858698,91025.2990597075,92290.4388977725,111366.143203038,47846.6496243767,109683.31221754,110507.778736477,110746.936935279,110319.627267424,110609.472579353
