"","LE-STELO-SLUIS SA","LE-STELO-SLUIS SO","LE-OLSENE","LE-DEINZE","LE-AST","LE-STELO-VISTRAP-SA","LE-STELO-VISTRAP-SA1ETURN","LE-STELO-STUW -SA","LE-OOIGEM","LE-HARELB-SLUIS-SA","LE-HARELB-STUW-SA","LE-HARELB-VISTRAP-MID","AKL-NEVELE","KGO-MERENDREE","KGO-AALTER","RV-EVERG-WESTERVAK","RV-EVERG-SLUIS-SA","LE-MANDEL","LE-STMARTLATEM","LE-BAARLE","LE-DRONGEN","BRUGSEV-MARIAKERKE","ZS-MERELB-STUWGEUL","ZS-MERELB-TIJARM-SA","ZS-MERELB-STUWGEUL-SASTUW","RV-MERELB-STUWGEUL-SOSTUW","RV-MERELB-SLUIS-SO","BS-ZWIJNA-KANZWIJNA","BS-SEM","s-Wetteren","s-2a","s-Schoonaarde","s-wichelen","s-3","BS-ASP-NSTUW-SA","BS-ASP-SLUIS-SA","BS-ASP-SLUIS-SO","s-Dendermonde2","s-4a","s-4b","s-4c","s-5","s-6","s-8","s-9a","s-9","s-8a","ZS-MERELB-TIJARM-SO","BS-ASP-OSTUW-SA","s-7","s-10a","s-12","ws-53A","me-7-2b","ru-1","bn-Walem","bn-1","bn-2","gn-1","gn-2","BS-ZINGEM","BS-HEURNE","BS-OUD-NSTUW-SA","BS-OUD-VISTRAP-SA","BS-OUD-VISTRAP-MID","BS-OUD-NSTUW-SO","BS-OUD-SLUIS-SO","BS-MELDEN","BS-WORTEGEM","BS-KERKH-SLUIS-SA","BS-KERKH-OSTUW-SA","BS-KERKH-VISTRAP-SA","BS-KERKH-VISTRAP-MID","BS-KERKH-VISTRAP-SO","BS-KERKH-NSTUW-SO","BS-KERKH-SLUIS-SO","BS-AVELG","BS-ASP-NSTUW-SO","BS-OUD-VISTRAP-SO","BS-OUD-SLUIS-SA","RV-ZWIJNA","ZS-MELLE","S-MERELB-SOJACHTH","BS-RONNEBEEK","3D4","BS-KERKH-NSTUW-SA","BS-ASP-OSTUW-SO","RV-GENT-MONDTOERLEIE","RV-GENT-MONDOUDELEIE","LE-SNEPKAAI","BS-KERKH-OSTUW-SO","rt-mer-300m","rt-mer-600m","rt-mer-900m","rt-mer-1200m","bs-as-rt-300m","bs-as-rt-600m","bs-as-rt-900m","bs-as-rt-1200m","ws-VH8","bpns-O6","BS-OUD-OSTUW-SA","LE-HARELB-VISTRAP-SA","LE-HARELB-STUW-SO","LE-KORTRIJK","LE-WEVELG","LE-MENEN-STUW-SA","LE-MENEN-STUW-SO","LE-WERVIK","BS-ZWALM","3D5","3D2","3D3","BS-OUD-OSTUW-SO","3D1","du-Hamveer","KGO-BEERNEM-SLUIS","KGO-BRUGGE-TEN BRIELE","bpns-W1","rel_merelbeke","rel_spiere","rel_rone","rel_asper","rel_harbour_kerkhove","rel_fish_pass_leie","rel_oudenaarde","rel_weir1_kerkhove","rel_mandel","rel_zwalm","rel_weir2_kerkhove","rel_oude_mandel","rel_rijtgracht","rel_mouth_rijtgracht","rel_harelbeke","rel_sb5","rel_weir_sb5","rel_ronne","rel_douvebeek"
"BS-KERKH-VISTRAP-SO",75559.6300706075,76537.3805645032,71386.5210658521,65320.0369685862,60474.7830356315,76254.5565164768,76295.9753249867,76275.2659207318,81482.6292027726,86738.503675678,87183.4476621603,87283.4403810594,63927.4783378264,56796.0088920931,65730.9396533586,49782.2639488195,51422.1022795672,75588.9180190111,56836.5576177429,51504.9468490445,47604.6110912856,49234.385709301,39109.0084949289,38155.5213765957,38929.7304749695,38833.2887477524,38691.8772203436,37039.9096848361,32341.1050949051,47771.7721560483,58077.9205046274,62436.8093251039,53296.2720073581,67918.4032129044,23486.9517557398,23345.5402283309,23204.1287009214,73570.7065085951,82423.3928879876,85758.0812118327,88077.1548667188,90661.8961434739,95417.8083461629,105097.658602052,110421.536410336,110235.151772041,104773.416738725,35948.5673278858,23345.5402283309,97254.0807919561,117600.0712756,130594.504280447,154848.579373593,105799.082208712,109177.276352602,116586.57043479,121301.069788216,125574.175153634,129638.109065977,130091.631265537,17613.9575908276,13496.479969114,12413.7151631045,12272.3036356949,12393.0060899186,12060.1863445813,12110.1827040308,7571.4117031588,5331.61407939266,149.990071556531,170.699144741755,70.7057637047213,141.411527409443,0,170.698482603495,170.698482603413,3831.71237061782,23074.8477025508,12230.8854893237,12301.5905908892,39191.8428012556,43260.811218519,38554.0176778259,3981.70144896605,12272.3036356949,191.40821792833,23204.1287009214,43416.4237330353,45456.2279733396,43375.004593456,170.698482603413,35757.1594410274,36057.1375977244,36377.8251586764,36657.0939111193,24173.2999885311,24585.4027174428,24876.8033231998,25218.2002884076,168525.579972279,112922.293328091,12301.5905908892,87183.4476621601,87374.8555490185,92492.8790872088,98257.3062929766,106121.59284519,106263.004372599,113846.548922281,Inf,12322.2999951444,12251.5945625089,12251.5942314397,12110.1827040308,12251.5942314397,95084.37914328,78281.9174820701,86376.073966326,145558.133427349,38950.4398792247,12475.8400651753,4235.23754859047,23728.356664187,624.221344303218,87283.4403810591,12230.8848271845,120.702454222868,75347.5131105632,18788.1425308377,99.9933810376097,68291.1536185434,141.411527409443,312.110672151938,87183.4476621601,74978.2978052803,76375.2593017694,3902.41813432262,118973.152328897
"BS-KERKH-NSTUW-SO",75671.7539806835,76649.5044745791,71498.6449759281,65432.1608786622,60586.9069457075,76366.6804265528,76408.0992350627,76387.3898308078,81594.7531128486,86850.627585754,87295.5715722362,87395.5642911353,64039.6022479024,56908.1328021691,65843.0635634346,49894.3878588954,51534.2261896432,75701.0419290871,56948.6815278189,51617.0707591204,47716.7350013616,49346.5096193769,39221.1324050049,38267.6452866716,39041.8543850454,38945.4126578284,38804.0011304195,37152.0335949121,32453.229004981,47883.8960661243,58190.0444147033,62548.9332351799,53408.3959174341,68030.5271229804,23599.0756658158,23457.6641384069,23316.2526109974,73682.8304186711,82535.5167980635,85870.2051219087,88189.2787767948,90774.0200535499,95529.9322562389,105209.782512128,110533.660320412,110347.275682117,104885.540648801,36060.6912379617,23457.6641384069,97366.2047020321,117712.195185676,130706.628190523,154960.703283669,105911.206118788,109289.400262678,116698.694344866,121413.193698292,125686.29906371,129750.232976053,130203.755175613,17726.0815009036,13608.60387919,12525.8390731805,12384.4275457708,12505.1299999945,12172.3102546573,12222.3066141068,7683.53561323478,5443.73798946864,262.113981632475,241.404908447217,241.404246308216,312.110010012937,170.698482603495,0,99.9933810377261,3661.01388801432,23186.9716126268,12343.0093993997,12413.7145009652,39303.9667113316,43372.935128595,38666.1415879018,3811.00296636255,12384.4275457708,332.81941426793,23316.2526109974,43528.5476431112,45568.3518834155,43487.128503532,99.9933810377261,35869.2833511033,36169.2615078003,36489.9490687523,36769.2178211953,24285.4238986071,24697.5266275188,24988.9272332758,25330.3241984836,168637.703882355,113034.417238167,12413.7145009652,87295.571572236,87486.9794590944,92605.0029972847,98369.4302030526,106233.716755266,106375.128282675,113958.672832357,Inf,12434.4239052204,12363.7184725849,12363.7181415157,12222.3066141068,12363.7181415157,95196.503053356,78394.0413921461,86488.197876402,145670.257337425,39062.5637893007,12305.1415825718,4064.53906598698,23840.480574263,736.345254379196,87395.5642911351,12343.0087372605,191.40821792833,75459.6370206392,18900.2664409136,212.117291113588,68403.2775286193,312.110010012937,424.234582227916,87295.571572236,75090.4217153563,76487.3832118454,3731.71965171913,119085.276238973
"BS-KERKH-SLUIS-SO",75571.7605996458,76549.5110935415,71398.6515948904,65332.1674976245,60486.9135646698,76266.6870455151,76308.105854025,76287.3964497701,81494.7597318109,86750.6342047163,87195.5781911985,87295.5709100976,63939.6088668647,56808.1394211314,65743.0701823969,49794.3944778577,51434.2328086055,75601.0485480494,56848.6881467812,51517.0773780828,47616.7416203239,49246.5162383392,39121.1390239672,38167.6519056339,38941.8610040077,38845.4192767907,38704.0077493818,37052.0402138744,32353.2356239434,47783.9026850866,58090.0510336657,62448.9398541422,53308.4025363964,67930.5337419427,23499.0822847781,23357.6707573692,23216.2592299597,73582.8370376334,82435.5234170258,85770.211740871,88089.2853957571,90674.0266725122,95429.9388752012,105109.78913109,110433.666939374,110247.282301079,104785.547267763,35960.697856924,23357.6707573692,97266.2113209944,117612.201804638,130606.634809486,154860.709902631,105811.21273775,109189.406881641,116598.700963828,121313.200317254,125586.305682672,129650.239595015,130103.761794576,17626.0881198659,13508.6104981523,12425.8456921428,12284.4341647332,12405.1366189568,12072.3168736196,12122.3132330691,7583.54223219708,5343.74460843094,191.407886858405,141.411527409525,199.985437798314,270.691201503035,170.698482603413,99.9933810377261,0,3702.4326965245,23086.9782315891,12243.016018362,12313.7211199275,39203.9733302939,43272.9417475573,38566.1482068642,3852.42177487273,12284.4341647331,291.400605758027,23216.2592299597,43428.5542620735,45468.3585023779,43387.1351224943,0,35769.2899700657,36069.2681267627,36389.9556877147,36669.2244401576,24185.4305175694,24597.5332464811,24888.9338522381,25230.3308174459,168537.710501317,112934.423857129,12313.7211199275,87195.5781911984,87386.9860780568,92505.0096162471,98269.4368220149,106133.723374228,106275.134901638,113858.67945132,Inf,12334.4305241827,12263.7250915472,12263.724760478,12122.3132330691,12263.724760478,95096.5096723183,78294.0480111084,86388.2044953643,145570.263956387,38962.570408263,12346.560391082,4105.95787449715,23740.4871932253,636.351873341504,87295.5709100974,12243.0153562228,120.702123154533,75359.6436396015,18800.2730598759,170.698482603413,68303.2841475816,270.691201503035,382.815773717741,87195.5781911984,74990.4283343186,76387.3898308077,3773.1384602293,118985.282857935
"BS-AVELG",79274.1932961703,80251.9437900659,75101.0842914148,69034.6001941489,64189.3462611943,79969.1197420395,80010.5385505494,79989.8291462945,85197.1924283353,90453.0669012407,90898.010887723,90998.0036066221,67642.0415633892,60510.5721176559,69445.5028789213,53496.8271743823,55136.66550513,79303.4812445738,60551.1208433057,55219.5100746073,51319.1743168484,52948.9489348637,42823.5717204917,41870.0846021585,42644.2937005322,42547.8519733152,42406.4404459063,40754.4729103989,36055.6683204679,51486.3353816111,61792.4837301902,66151.3725506667,57010.8352329209,71632.9664384671,27201.5149813026,27060.1034538937,26918.6919264842,77285.2697341578,86137.9561135502,89472.6444373954,91791.7180922815,94376.4593690366,99132.3715717256,108812.221827614,114136.099635898,113949.714997604,108487.979964287,39663.1305534486,27060.1034538937,100968.644017519,121314.634501163,134309.06750601,158563.142599156,109513.645434275,112891.839578165,120301.133660352,125015.633013779,129288.738379197,133352.67229154,133806.1944911,21328.5208163904,17211.0431946768,16128.2783886673,15986.8668612577,16107.5693154814,15774.7495701441,15824.7459295936,11285.9749287216,9046.17730495544,3893.84058338291,3843.84422393403,3902.41813432254,3973.12389802726,3831.71237061782,3661.01388801432,3702.4326965245,0,26789.4109281136,15945.4487148865,16016.153816452,42906.4060268184,46975.3744440818,42268.5809033886,149.989078348503,15986.8668612577,3993.83330228226,26918.6919264842,47130.986958598,49170.7911989023,47089.5678190187,3702.4326965245,39471.7226665901,39771.7008232871,40092.3883842391,40371.6571366821,27887.8632140938,28299.9659430056,28591.3665487626,28932.7635139704,172240.143197842,116636.856553654,16016.153816452,90898.0108877228,91089.4187745812,96207.4423127715,101971.869518539,109836.156070752,109977.567598162,117561.112147844,Inf,16036.8632207072,15966.1577880717,15966.1574570025,15824.7459295936,15966.1574570025,98798.9423688427,81996.4807076328,90090.6371918888,149272.696652912,42665.0031047875,8644.12769455746,403.525177972651,27442.9198897498,4338.784569866,90998.0036066218,15945.4480527473,3823.13481967876,79062.0763361259,22502.7057564004,3873.13117912764,72005.7168441061,3973.12389802726,4085.24847024197,90898.0108877228,78692.861030843,80089.8225273321,70.7057637048036,122687.71555446
"BS-ASP-NSTUW-SO",52484.7823680569,53462.5328619526,48311.6733633015,42245.1892660354,37399.9353330808,53179.7088139262,53221.1276224361,53200.4182181812,58407.7815002222,63663.6559731274,64108.5999596096,64208.5926785087,40852.6306352757,33721.1611895424,42656.0919508079,26707.4162462688,28347.2545770165,52514.0703164605,33761.7099151922,28430.0991464937,24529.7633887349,26159.5380067503,16034.1607923782,15080.6736740449,15854.8827724187,15758.4410452017,15617.0295177929,13965.0619822854,9266.25739235431,24696.9244534975,35003.0728020765,39361.9616225531,30221.4243048073,44843.5555103536,412.104053188972,270.692525780139,170.699144742413,50495.8588060443,59348.5451854369,62683.233509282,65002.3071641681,67587.0484409232,72342.9606436122,82022.810899501,87346.688707785,87160.3040694905,81698.569036174,12873.719625335,270.692525780139,74179.2330894054,94525.2235730494,107519.656577897,131773.73167104,82724.2345061614,86102.4286500517,93511.7227322389,98226.2220856654,102499.327451083,106563.261363426,107016.783562987,5460.89011172322,9578.36773343684,10661.1325394472,10802.5440668568,10711.128898897,11014.6613579701,10964.6649985203,15562.0105719193,17801.8081956857,22924.8576309943,22945.5667041796,23004.1419388461,22933.4361751414,23074.8477025508,23186.9716126268,23086.9782315891,26789.4109281136,0,10902.5367857555,10773.2571116619,16116.9950987049,20185.9635159683,15479.1699752751,26939.4000064618,10802.5440668568,22883.4394846225,170.699144742413,20341.5760304845,22381.3802707888,20300.1568909053,23086.9782315891,12682.3117384766,12982.2898951736,13302.9774561256,13582.2462085686,1098.45228598029,1510.555014892,1801.95562064901,2143.35258585685,145450.732269727,89847.4456255405,10773.2571116619,64108.5999596096,64300.007846468,69418.0313846584,75182.4585904262,83046.7451426394,83188.1566700489,90771.7012197311,Inf,10752.547707407,10852.5404263066,10823.2534711117,10964.6649985203,10823.2534711117,72009.5314407296,55207.0697795195,63301.2262637756,122483.285724797,15875.592176674,35433.538622671,27192.9361060862,653.508961636188,22450.6263582476,64208.5926785087,10843.9628753666,22995.5633946985,52272.6654080126,4286.70517171321,22974.8543215132,45216.3059159927,22933.4361751414,22762.7370303989,64108.5999596096,51903.4501027297,53300.4115992188,26860.1166918184,95898.3046263468
"BS-OUD-VISTRAP-SO",63387.3191538124,64365.0696477081,59214.210149057,53147.7260517909,48302.4721188362,64082.2455996817,64123.6644081916,64102.9550039367,69310.3182859776,74566.192758883,75011.1367453652,75111.1294642643,51755.1674210312,44623.6979752979,53558.6287365634,37609.9530320242,39249.791362772,63416.607102216,44664.2467009476,39332.6359322492,35432.3001744903,37062.0747925057,26936.6975781336,25983.2104598004,26757.4195581742,26660.9778309571,26519.5663035483,24867.5987680408,20168.7941781098,35599.461239253,45905.609587832,50264.4984083086,41123.9610905628,55746.0922961091,11314.6408389445,11173.2293115356,11031.8177841261,61398.3955917999,70251.0819711924,73585.7702950375,75904.8439499237,78489.5852266787,83245.4974293677,92925.3476852565,98249.2254935405,98062.840855246,92601.1058219295,23776.2564110905,11173.2293115356,85081.7698751609,105427.760358805,118422.193363652,142676.268456796,93626.7712919169,97004.9654358072,104414.259517994,109128.758871421,113401.864236839,117465.798149182,117919.320348742,5441.64667403228,1324.16905231866,241.404246308298,99.9927188986912,191.407886858487,170.699144742413,149.990071556531,4718.04835869216,6957.84598245854,12080.8954177672,12101.6044909524,12160.179725619,12089.4739619143,12230.8854893237,12343.0093993997,12243.016018362,15945.4487148865,10902.5367857555,0,170.698482603413,27019.5318844603,31088.5003017237,26381.7067610306,16095.4377932347,99.9927188986912,12039.4772713954,11031.8177841261,31244.11281624,33283.9170565443,31202.6936766607,12243.016018362,23584.8485242321,23884.8266809291,24205.5142418811,24484.782994324,12000.9890717358,12413.0918006475,12704.4924064045,13045.8893716124,156353.269055483,100749.982411296,170.698482603413,75011.136745365,75202.5446322234,80320.5681704137,86084.9953761815,93949.2819283947,94090.6934558042,101674.238005486,Inf,149.989078348503,49.99635944888,120.702123153601,149.990071556531,120.702123153601,82912.0682264849,66109.606565275,74203.7630495309,133385.822510553,26778.1289624294,24589.5764094439,16348.9738928591,11556.0457473917,11606.6641450205,75111.129464264,141.411527408784,12151.6011814713,63175.2021937681,6615.83161404232,12130.8921082861,56118.8427017481,12089.4739619143,11918.7748171718,75011.136745365,62805.9868884852,64202.9483849743,16016.1544785913,106800.841412102
"BS-OUD-SLUIS-SA",63258.0394797188,64235.7899736145,59084.9304749634,53018.4463776973,48173.1924447426,63952.9659255881,63994.384734098,63973.6753298431,69181.038611884,74436.9130847894,74881.8570712716,74981.8497901707,51625.8877469376,44494.4183012043,53429.3490624698,37480.6733579306,39120.5116886784,63287.3274281224,44534.9670268541,39203.3562581556,35303.0205003967,36932.7951184121,26807.4179040401,25853.9307857068,26628.1398840806,26531.6981568635,26390.2866294547,24738.3190939473,20039.5145040162,35470.1815651594,45776.3299137385,50135.218734215,40994.6814164692,55616.8126220155,11185.3611648509,11043.949637442,10902.5381100325,61269.1159177063,70121.8022970988,73456.490620944,75775.5642758301,78360.3055525852,83116.2177552741,92796.068011163,98119.945819447,97933.5611811524,92471.8261478359,23646.9767369969,11043.949637442,84952.4902010674,105298.480684711,118292.913689559,142546.988782703,93497.4916178234,96875.6857617136,104284.979843901,108999.479197327,113272.584562745,117336.518475088,117790.040674649,5312.36699993869,1194.88937822507,170.69914474253,70.7057637047213,149.990071556647,241.404246308216,191.407886858405,4788.75346025769,7028.55108402407,12151.6005193327,12172.309592518,12230.8848271845,12160.1790634798,12301.5905908892,12413.7145009652,12313.7211199275,16016.153816452,10773.2571116619,170.698482603413,0,26890.2522103667,30959.2206276301,26252.427086937,16166.1428948002,70.7057637047213,12110.1823729609,10902.5381100325,31114.8331421464,33154.6373824507,31073.4140025671,12313.7211199275,23455.5688501385,23755.5470068355,24076.2345677875,24355.5033202304,11871.7093976422,12283.8121265539,12575.2127323109,12916.6096975188,156223.989381389,100620.702737202,0,74881.8570712714,75073.2649581298,80191.2884963201,85955.7157020879,93820.0022543011,93961.4137817106,101544.958331393,Inf,49.9966905188048,120.702123154533,49.9963594498113,191.407886858405,49.9963594498113,82782.7885523913,65980.3268911814,74074.4833754374,133256.542836459,26648.8492883359,24660.2815110094,16419.6789944247,11426.7660732981,11677.369246586,74981.8497901704,70.7057637047213,12222.3062830369,63045.9225196745,6486.55193994873,12201.5972098516,55989.5630276545,12160.1790634798,11989.4799187373,74881.8570712714,62676.7072143916,64073.6687108807,16086.8595801568,106671.561738009
"RV-ZWIJNA",36367.7872693521,37345.5377632478,32194.6782645967,26128.1941673306,21282.940234376,37062.7137152214,37104.1325237313,37083.4231194764,42290.7864015174,47546.6608744226,47991.6048609048,48091.5975798039,24735.6355365709,17604.1660908376,26539.096852103,10590.4211475639,12230.2594783117,36397.0752177557,17644.7148164874,12313.1040477889,8412.76829003005,11913.1232401122,2389.78802639173,2731.18267411428,2098.38642742637,1806.98482846035,1665.57330105152,2151.93311642003,6909.31227887834,11052.5516875111,21358.7000360902,25717.5888565667,16577.051538821,31199.1827443672,15704.8910455159,15846.3025729248,15987.7141003343,36851.4860400579,45704.1724194505,49038.8607432956,51357.9343981818,53942.6756749368,58698.5878776259,68378.4381335149,73702.3159417989,73515.9313035044,68054.1962701879,3284.69428187982,15846.3025729248,60534.8603234192,80880.8508070634,93875.2838119106,118129.358905054,69079.8617401753,72458.0558840655,79867.3499662527,84581.8493196793,88854.9546850973,92918.8885974403,93372.4107970005,21577.885210428,25695.3628321417,26778.127638152,26919.5391655616,26828.1239976018,27131.6564566749,27081.6600972251,31679.0056706241,33918.8032943905,39041.8527296991,39062.5618028844,39121.1370375509,39050.4312738462,39191.8428012556,39303.9667113316,39203.9733302939,42906.4060268184,16116.9950987049,27019.5318844603,26890.2522103667,0,6541.59074998184,1403.45931941845,43056.3951051666,26919.5391655616,39000.4345833273,15987.7141003343,4224.58093177966,6264.38517208399,4183.16179220041,39203.9733302939,3434.68336022824,3134.70520353123,2855.43645108922,2534.74889013684,15018.5428127246,14606.4400838129,14315.0394780559,13973.642512848,129333.737171021,73730.4505268358,26890.2522103667,47991.6048609048,48183.0127477632,53301.0362859536,59065.4634917215,66929.7500439347,67071.1615713442,74654.7061210264,Inf,26869.5428061118,26969.5355250114,26940.2485698165,27081.6600972251,26940.2485698165,58365.1586747433,39090.0746808147,47184.2311650708,106366.290626093,2148.38311794529,51550.5337213758,43309.931204791,15522.0607095959,38567.6214569524,48091.5975798039,26960.9579740715,39112.5584934032,36155.6703093078,20403.7002704181,39091.849420218,29099.3108172879,39050.4312738462,38879.7321291036,47991.6048609048,35786.4550040249,37183.416500514,42977.1117905232,79781.3095276421
"ZS-MELLE",42909.3780193339,43887.1285132296,38736.2690145785,32669.7849173124,27824.5309843578,43604.3044652032,43645.7232737131,43625.0138694582,48832.3771514992,54088.2516244044,54533.1956108866,54633.1883297857,31277.2262865527,24145.7568408194,33080.6876020848,17132.0118975458,18771.8502282935,42938.6659677375,24186.3055664692,18854.6947977707,14954.3590400119,16089.1909946103,4151.8027235901,5205.28256082271,4443.20432255546,4734.60592152149,4876.01744893032,6438.04339763763,10978.2806961418,4510.96093752927,14817.1092861084,19175.9981065849,10035.4607888391,24657.5919943854,19773.8594627793,19915.2709901882,20056.6825175977,30309.8952900761,39162.5816694687,42497.2699933138,44816.3436481999,47401.084924955,52156.9971276441,61836.8473835332,67160.7251918172,66974.3405535226,61512.6055202062,7353.66269914325,19915.2709901882,53993.2695734374,74339.2600570816,87333.6930619288,111587.768155072,62538.2709901935,65916.4651340839,73325.7592162711,78040.2585696976,82313.3639351156,86377.2978474587,86830.8200470188,25646.8536276915,29764.3312494051,30847.0960554154,30988.507582825,30897.0924148652,31200.6248739383,31150.6285144885,35747.9740878875,37987.7717116539,43110.8211469625,43131.5302201478,43190.1054548143,43119.3996911096,43260.811218519,43372.935128595,43272.9417475573,46975.3744440818,20185.9635159683,31088.5003017237,30959.2206276301,6541.59074998184,0,5408.82296313482,47125.3635224301,30988.507582825,43069.4030005907,20056.6825175977,10766.1716817615,12805.9759220658,10724.7525421822,43272.9417475573,7503.65177749167,7203.67362079466,6924.40486835265,6720.8664524553,19087.511229988,18675.4085010763,18384.0078953193,18042.6109301114,135875.327921003,80272.0412768175,30959.2206276301,54533.1956108867,54724.6034977451,59842.6270359355,65607.0542417034,73471.3407939164,73612.7523213259,81196.2968710081,Inf,30938.5112233752,31038.5039422748,31009.2169870799,31150.6285144885,31009.2169870799,51823.5679247615,45631.6654307966,53725.8219150527,112907.881376074,4393.20763203654,55619.5021386392,47378.8996220545,19591.0291268593,42636.5898742159,54633.1883297858,31029.9263913348,43181.5269106667,42697.2610592897,24472.6686876815,43160.8178374814,35640.9015672697,43119.3996911096,42948.7005463671,54533.1956108867,42328.0457540068,43725.0072504959,47046.0802077866,86322.9002776238
"S-MERELB-SOJACHTH",37771.2465887706,38748.9970826662,33598.1375840151,27531.6534867491,22686.3995537944,38466.1730346399,38507.5918431498,38486.8824388948,43694.2457209359,48950.120193841,49395.0641803233,49495.0568992223,26139.0948559893,19007.625410256,27942.5561715214,11993.8804669824,13633.7187977301,37800.5345371741,19048.1741359058,13716.5633672074,9816.22760944851,10680.3680314755,1257.02023954475,1598.41488726734,965.618640579391,674.21704161337,532.805514204503,1514.10799299029,6271.48715544861,9919.7839006641,20225.9322492432,24584.8210697197,15444.2837519739,30066.4149575202,15067.0659220862,15208.477449495,15349.8889769046,35718.7182532109,44571.4046326035,47906.0929564486,50225.1666113348,52809.9078880898,57565.8200907789,67245.670346668,72569.548154952,72383.1635166574,66921.4284833409,2646.86915845008,15208.477449495,59402.0925365722,79748.0830202164,92742.5160250636,116996.591118207,67947.0939533283,71325.2880972185,78734.5821794057,83449.0815328323,87722.1868982502,91786.1208105933,92239.6430101535,20940.0600869983,25057.5377087119,26140.3025147223,26281.7140421319,26190.2988741721,26493.8313332452,26443.8349737954,31041.1805471944,33280.9781709607,38404.0276062694,38424.7366794546,38483.3119141212,38412.6061504165,38554.0176778259,38666.1415879018,38566.1482068642,42268.5809033886,15479.1699752751,26381.7067610306,26252.427086937,1403.45931941845,5408.82296313482,0,42418.5699817369,26281.7140421319,38362.6094598975,15349.8889769046,5628.04025119811,7667.84449150244,5586.62111161886,38566.1482068641,2796.8582367985,2496.8800801015,2217.61132765949,1896.9237667071,14380.7176892949,13968.6149603831,13677.2143546261,13335.8173894183,130737.19649044,75133.9098462542,26252.427086937,49395.0641803233,49586.4720671817,54704.4956053721,60468.92281114,68333.2093633531,68474.6208907626,76058.1654404448,Inf,26231.7176826821,26331.7104015817,26302.4234463868,26443.8349737954,26302.4234463868,57232.3908878963,40493.5340002332,48587.6904844893,107769.749945511,1015.61533109828,50912.708597946,42672.1060813613,14884.2355861662,37929.7963335227,49495.0568992223,26323.1328506417,38474.7333699735,37559.1296287263,19765.8751469883,38454.0242967882,30502.7701367063,38412.6061504164,38241.9070056739,49395.0641803233,37189.9143234434,38586.8758199325,42339.2866670934,81184.7688470605
"BS-RONNEBEEK",79424.1823745185,80401.9328684141,75251.073369763,69184.5892724971,64339.3353395426,80119.1088203878,80160.5276288977,80139.8182246427,85347.1815066836,90603.055979589,91047.9999660712,91147.9926849703,67792.0306417375,60660.5611960041,69595.4919572695,53646.8162527305,55286.6545834783,79453.470322922,60701.109921654,55369.4991529555,51469.1633951966,53098.938013212,42973.5607988399,42020.0736805067,42794.2827788805,42697.8410516634,42556.4295242546,40904.4619887471,36205.6573988161,51636.3244599593,61942.4728085384,66301.361629015,57160.8243112692,71782.9555168154,27351.5040596508,27210.0925322419,27068.6810048324,77435.258812506,86287.9451918985,89622.6335157436,91941.7071706298,94526.4484473848,99282.3606500738,108962.210905963,114286.088714247,114099.704075952,108637.969042636,39813.1196317968,27210.0925322419,101118.633095867,121464.623579511,134459.056584359,158713.131677504,109663.634512623,113041.828656513,120451.122738701,125165.622092127,129438.727457545,133502.661369888,133956.183569448,21478.5098947386,17361.032273025,16278.2674670155,16136.8559396059,16257.5583938296,15924.7386484923,15974.7350079418,11435.9640070698,9196.16638330367,4043.82966173113,3993.83330228225,4052.40721267077,4123.11297637549,3981.70144896605,3811.00296636255,3852.42177487273,149.989078348503,26939.4000064618,16095.4377932347,16166.1428948002,43056.3951051666,47125.3635224301,42418.5699817369,0,16136.8559396059,4143.82238063048,27068.6810048324,47280.9760369462,49320.7802772506,47239.556897367,3852.42177487273,39621.7117449384,39921.6899016354,40242.3774625874,40521.6462150303,28037.8522924421,28449.9550213538,28741.3556271108,29082.7525923186,172390.13227619,116786.845632002,16166.1428948002,91047.999966071,91239.4078529294,96357.4313911197,102121.858596888,109986.145149101,110127.55667651,117711.101226192,Inf,16186.8522990554,16116.14686642,16116.1465353507,15974.7350079418,16116.1465353507,98948.931447191,82146.469785981,90240.626270237,149422.68573126,42814.9921831357,8552.71318873675,312.110672151938,27592.908968098,4488.77364821423,91147.9926849701,16095.4371310955,3973.12389802699,79212.0654144742,22652.6948347487,4023.12025747587,72155.7059224543,4123.11297637549,4235.2375485902,91047.999966071,78842.8501091913,80239.8116056803,120.702123153684,122837.704632808
